"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-180","hymni","Ambrosius Mediolanensis",374,397,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-116","carminum fragmenta","Hieronymus",380,404,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-526","carminum libri  3","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-279","carmina","Paulinus Nolanus",383,408,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-354","alethia","Arator",554,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-79","epistulae, 7,21-29, uersus inserti","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-533","carminum libri 10","Venantius Fortunatus",590,605,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-82","Verecundia, opusc. 6","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-165","carmen ad Augustinum","Licentius",395,395,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-479","Anicius Iulianus","Symmachus pater",375,375,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-375","epilogus","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-273","de insitione","Palladius Rutilius Taurus Aemilianus",425,475,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-516","uersus Sibyllae","Augustinus Hipponensis",412,427,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-349","praeceptum","Priscillianista quidam",400,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-593","Mosella","Ausonius, Decimus Magnus",371,371,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-277","carminum fragmenta","Parthenius Africanus Presbyter",500,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-212","de nuptiis Philologiae et Mercurii","Martianus Capella",475,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-622","poematum libri","Alcimus Auitus",468,518,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-590","epigrammata","Ausonius, Decimus Magnus",334,394,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-528","carminum libri  5","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574_1","Epicedion in patrem","Ausonius, Decimus Magnus",378,378,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-615","epigramma in ecclesia sancti Petri","Achilleus Spoletanus Episcopus",400,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-158","e Graecis conuersa","Lactantius, Lucius Caecilius Firmianus",303,313,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-364","epitaphium haereseon","Prosper Aquitanus",431,432,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-60","satisfactio","Dracontius",490,496,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-234","de aucupio","Nemesianus",275,300,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-492","*carmen aduersus Marcionem","Pseudo-Tertullian",300,400,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-603","epistulae","Ausonius, Decimus Magnus",334,394,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-532","carminum libri  9","Venantius Fortunatus",584,591,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-578","praefationes","Ausonius, Decimus Magnus",379,394,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-353","de actibus apostolorum","Arator",544,544,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-346","perihegesis","Priscianus",475,525,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574_2","Genethliacum ad Ausonium nepotem","Ausonius, Decimus Magnus",387,387,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-367","cathemerinon","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-191","in Euangelia","Severus Malacitanus",550,602,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-42","Iohannis","Corippus",548,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-289","carminum fragmenta","Paulus Quaestor",312,312,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-285","de uita Martini","Paulinus Petricordiae",460,470,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-525","carminum libri  2","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-1","laudes Domini","laudes Domini",317,324,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-119","*de martyrio Maccabaeorum","Pseudo-Hilary",375,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-107","carminum fragmenta","Albinus",200,300,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-62","Romulea, fragmentum","Dracontius",480,510,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-621","uersus in subscritione codicis Hegesippi","Cyprianus Tolonensis Episcopus",524,546,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-61","Romulea","Dracontius",480,510,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574","De Bissula","Ausonius, Decimus Magnus",371,372,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-80","opuscula, 6, uersus inserti","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-75","carmina 1","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-445","epistulae, uersus inserti","Sidonius Apollinaris",469,482,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-416","tristicha","Rusticius Helpidius",475,525,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-241","carmina","Publilius Optatianus Porfyrius",306,337,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-601","technopaegnion","Ausonius, Decimus Magnus",388,390,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-351","epistula ad Florianum","Arator",554,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-56","epigrammata","Damasus",366,384,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-215","elegiae","Maximianus",500,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-59","de laudibus dei","Dracontius",490,496,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-211","epitaphium","Martinus Bracariensis",550,579,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-627","consolatio Philosophiae","Boethius, Anicius Manlius Severinus",523,524,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-414","de numeris oratorum","Rufinus",375,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-372","contra Symmachum","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-583","de herediolo","Ausonius, Decimus Magnus",379,380,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-278","epigramma","Paulinus Baeterrensis",400,410,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-51","numeri","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-151","euangeliorum libri","Vettius Aquilinus Iuuencus",330,330,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-589","epitaphia heroum","Ausonius, Decimus Magnus",385,385,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-220","panegyricus poeticus","Merobaudes",437,446,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-573","ora maritima","Avienus, Rufius Festus",340,360,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-94","carmina (anth. Riese)","Felix",496,523,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-371","contra Symmachum, praefationes","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-524","carminum libri  1","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-83","Castitas, opusc. 6","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0410","Vita Sancti Martini episcopi et confessoris","Severus, Sulpicius",396,396,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0286","Testamentum porcelli","[Auctor incertus]",325,375,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0788","Adversus Praxean","Tertullianus, Quintus Septimius Florens",210,211,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0251","Epistulae Theodoricianae variae","Papa Gelasius I",492,496,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0904","Adversus profanas omnium novitates haereticorum commonitorium cum notis","Vincentius Lerinensis",434,434,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0906","De summa temporum vel origine actibusque gentis Romanorum","Iordanes",551,551,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_5","De superbia","Martinus Bracarensis",550,579,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0263","Epistula ad Marcellinam sororem","Ambrosius Mediolanensis",385,386,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0001","Vulgata","Hieronymus",382,410,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0482","Institutiones divinarum et saecularium litterarum","Cassiodorus, Flavius Magnus Aurelius",530,560,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990","Concilium Bracarense primum octo episcoporum, habitum aera DXCIX, anno tertio Ariamiri regis, die Kalendarum Maiarum.","Martinus Bracarensis",561,561,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0016","Regula","Augustinus Hipponensis",397,427,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0189","Epitoma rei militaris","Vegetius Renatus, Flavius",408,450,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_8","Formula vitae honestae, De quattuor virtutibus","Martinus Bracarensis",570,579,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0403","De cathechizandis rudibus","Augustinus Hipponensis",399,399,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0914","De musica fragmentum","Censorinus",200,300,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0878","Vita Pauli","Hieronymus",372,381,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0238","Prodigiorum Liber","Obsequens, Iulius",350,400,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0886","Epistulae de iure civitatis Orcistenorum","Ablabius",326,337,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0365","De tropis","Donatus, Aelius",300,400,"Late","Late","Late_prose","Late_prose","prose"
"LC-11","Matheseos libri VIII","Iulius Firmicus Maternus",334,337,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0776","Chronicon","Hydatius Lemicensis",408,468,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0059","De unitate ecclesiae","Cyprianus Carthaginensis",251,251,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0990_9","Capitula ex orientalium patrum synodis","Martinus Bracarensis",572,572,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0865","De Trinitate","Novatianus",230,250,"Late","Late","Late_prose","Late_prose","prose"
"LC-12","Helius (Historia Augusta)","[Auctor incertus]",390,500,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0353","Epistula ad Theodosium","Avianus, Flavius",375,425,"Late","Late","Late_prose","Late_prose","prose"
"IT-LAT0744","De exhortatione castitatis","Tertullianus, Quintus Septimius Florens",208,209,"Late","Late","Late_prose","Late_prose","prose"
