outer_fold,model,min_docfreq,lambda_1se,lambda_min,cost,candidate_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,log_loss,auc,best_nrounds,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction
1,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,ridge,3,1.7347329867073105,0.42566029858576615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,svm_platt,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,xgboost,3,NA,NA,NA,3,0.03,6,1,0.8,0.8,0.3640584287523374,0.9210048426150127,393,NA,NA,NA,NA,NA
1,lightgbm,3,NA,NA,NA,8,NA,NA,NA,NA,NA,0.2942097853095303,0.9473365617433418,172,0.05,31,20,0.8,0.8
2,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ridge,3,36.4631774285538,0.9673493056738968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,svm_platt,3,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,xgboost,3,NA,NA,NA,5,0.05,3,1,0.8,0.8,0.30728198474822754,0.9435028248587569,171,NA,NA,NA,NA,NA
2,lightgbm,3,NA,NA,NA,2,NA,NA,NA,NA,NA,0.2548418942345349,0.9595599167410048,242,0.03,15,20,0.8,0.8
3,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ridge,3,146.69103268178867,14.107641449966309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,svm_platt,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,xgboost,3,NA,NA,NA,1,0.03,3,1,0.8,0.8,0.33924652282208834,0.9247695509961341,372,NA,NA,NA,NA,NA
3,lightgbm,3,NA,NA,NA,8,NA,NA,NA,NA,NA,0.24029372087305126,0.9625334522747548,187,0.05,31,20,0.8,0.8
4,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ridge,3,66.97888705245406,4.53363342369821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,svm_platt,3,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,xgboost,3,NA,NA,NA,3,0.03,6,1,0.8,0.8,0.3945195500083311,0.9024680344930124,190,NA,NA,NA,NA,NA
4,lightgbm,3,NA,NA,NA,8,NA,NA,NA,NA,NA,0.31350876981812476,0.9351769253642581,136,0.05,31,20,0.8,0.8
5,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ridge,3,85.5581892127315,7.319222914508867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,svm_platt,3,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,xgboost,3,NA,NA,NA,3,0.03,6,1,0.8,0.8,0.35716329283287634,0.9178362573099418,182,NA,NA,NA,NA,NA
5,lightgbm,3,NA,NA,NA,7,NA,NA,NA,NA,NA,0.31235847078526363,0.9423976608187131,129,0.05,31,10,0.8,0.8
