time,step,detail
2026-03-29 01:08:41,load_data,reading corpus and labels
2026-03-29 01:08:42,outer_fold_start,fold 1 of 5
2026-03-29 01:08:47,fit_nb,outer fold 1
2026-03-29 01:08:47,fit_ridge,outer fold 1
2026-03-29 01:08:50,tune_svm,outer fold 1
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 0.25 fold 1 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 0.25 fold 2 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 0.25 fold 3 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 0.25 fold 4 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 0.25 fold 5 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 1 fold 1 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 1 fold 2 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 1 fold 3 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 1 fold 4 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 1 fold 5 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 4 fold 1 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 4 fold 2 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 4 fold 3 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 4 fold 4 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 4 fold 5 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 16 fold 1 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 16 fold 2 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 16 fold 3 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 16 fold 4 of 5
2026-03-29 01:08:50,svm_inner_fold,outer 1 cost 16 fold 5 of 5
2026-03-29 01:08:50,tune_xgb,outer fold 1
2026-03-29 01:08:50,xgb_inner_fold,outer 1 candidate 1 of 8 fold 1 of 5
2026-03-29 01:08:54,xgb_inner_fold,outer 1 candidate 1 of 8 fold 2 of 5
2026-03-29 01:08:55,xgb_inner_fold,outer 1 candidate 1 of 8 fold 3 of 5
2026-03-29 01:08:58,xgb_inner_fold,outer 1 candidate 1 of 8 fold 4 of 5
2026-03-29 01:09:00,xgb_inner_fold,outer 1 candidate 1 of 8 fold 5 of 5
2026-03-29 01:09:03,xgb_inner_fold,outer 1 candidate 2 of 8 fold 1 of 5
2026-03-29 01:09:04,xgb_inner_fold,outer 1 candidate 2 of 8 fold 2 of 5
2026-03-29 01:09:05,xgb_inner_fold,outer 1 candidate 2 of 8 fold 3 of 5
2026-03-29 01:09:06,xgb_inner_fold,outer 1 candidate 2 of 8 fold 4 of 5
2026-03-29 01:09:07,xgb_inner_fold,outer 1 candidate 2 of 8 fold 5 of 5
2026-03-29 01:09:10,xgb_inner_fold,outer 1 candidate 3 of 8 fold 1 of 5
2026-03-29 01:09:13,xgb_inner_fold,outer 1 candidate 3 of 8 fold 2 of 5
2026-03-29 01:09:14,xgb_inner_fold,outer 1 candidate 3 of 8 fold 3 of 5
2026-03-29 01:09:17,xgb_inner_fold,outer 1 candidate 3 of 8 fold 4 of 5
2026-03-29 01:09:20,xgb_inner_fold,outer 1 candidate 3 of 8 fold 5 of 5
2026-03-29 01:09:23,xgb_inner_fold,outer 1 candidate 4 of 8 fold 1 of 5
2026-03-29 01:09:25,xgb_inner_fold,outer 1 candidate 4 of 8 fold 2 of 5
2026-03-29 01:09:26,xgb_inner_fold,outer 1 candidate 4 of 8 fold 3 of 5
2026-03-29 01:09:27,xgb_inner_fold,outer 1 candidate 4 of 8 fold 4 of 5
2026-03-29 01:09:29,xgb_inner_fold,outer 1 candidate 4 of 8 fold 5 of 5
2026-03-29 01:09:30,xgb_inner_fold,outer 1 candidate 5 of 8 fold 1 of 5
2026-03-29 01:09:32,xgb_inner_fold,outer 1 candidate 5 of 8 fold 2 of 5
2026-03-29 01:09:33,xgb_inner_fold,outer 1 candidate 5 of 8 fold 3 of 5
