model,lambda_1se,lambda_min,cost,auc_margin,candidate_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,log_loss,auc,best_nrounds,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction
ridge,22.977888423238102,3.139809770622591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,0.25,0.8998858012942512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,1,0.8861819566044908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,4,0.8757137419109242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,16,0.8285116102017505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,3,0.03,6,1,0.8,0.8,0.33736556445009064,0.9318614389036919,251,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,7,0.05,6,1,0.8,0.8,0.3387201299339095,0.9272934906737719,247,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,5,0.05,3,1,0.8,0.8,0.3434500772428634,0.9240578606775786,247,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,1,0.03,3,1,0.8,0.8,0.3504362106398263,0.9246288542063186,260,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,4,0.03,6,5,0.8,0.8,0.3538376846463671,0.9290064712599921,363,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,2,0.03,3,5,0.8,0.8,0.35397190547672036,0.9288161400837454,435,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,8,0.05,6,5,0.8,0.8,0.3547733907200347,0.929006471259992,337,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,6,0.05,3,5,0.8,0.8,0.3585622856873202,0.9251998477350586,316,NA,NA,NA,NA,NA
lightgbm,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.27378498121552575,0.9510848877046055,242,0.05,15,20,0.8,0.8
lightgbm,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.27753856283182643,0.95298819946707225,258,0.03,31,20,0.8,0.8
lightgbm,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0.28345516923373737,0.9497525694708788,169,0.05,31,20,0.8,0.8
lightgbm,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.2852496585057567,0.9470879330034256,279,0.03,15,20,0.8,0.8
lightgbm,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0.30001050449100924,0.9440426341834787,175,0.05,31,10,0.8,0.8
lightgbm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.31146144415462906,0.9413779977160253,251,0.03,15,10,0.8,0.8
lightgbm,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.31728253357058783,0.9370003806623518,237,0.03,31,10,0.8,0.8
lightgbm,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.32827026650588187,0.9345260753711452,105,0.05,15,10,0.8,0.8
