"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"IT-LAT0574_4","Liber protrepticus ad nepotem","Ausonius, Decimus Magnus",379,383,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-305","ars, praefatio","Phocas",200,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0373","Fescennina dicta Honorio Augusto et Mariae","Claudianus, Claudius",397,398,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-182","*carmen de ternarii numeri excellentia","Pseudo-Ambrose",500,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-608","epistula ad Arbogastem","Auspicius Tullensis Episcopus",475,475,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-243","carmina minora","Orientius",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-513","*carmina (anth. Riese)","Augustinus Hipponensis",397,1494,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-360","carmen de ingratis, argumentum","Prosper Aquitanus",429,430,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-350","cento Vergilianus","Faltonia Betitia Proba",360,360,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-25","panegyricus dictus Honorio sextum consuli","Claudianus, Claudius",403,403,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-286","de uisitatione nepotuli sui","Paulinus Petricordiae",450,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-417","de reditu suo","Rutilius Namatianus",417,417,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-569","Aratea","Avienus, Rufius Festus",340,360,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-304","carmen de uita Vergilii","Phocas",200,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-52","deuteronomium","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-87","epigrammata Bobiensia","epigrammata Bobiensia",375,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-189","alethia","Marius Victor",430,430,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574_7","Periocha Iliadis","Pseudo-Ausonius",330,380,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-31","versus ad Hunaldum","Columbanus",490,800,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-581","uersus Paschales","Ausonius, Decimus Magnus",368,368,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-287","uersus de orantibus","Paulinus Petricordiae",450,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-216","elegiarum appendix","Maximianus",500,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-532","carminum libri  9","Venantius Fortunatus",584,591,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-418","fragmenta duo","Rutilius Namatianus",417,417,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-233","cynegetica","Nemesianus",283,284,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-44","panegyricus in laudem Iustini Augusti","Corippus",566,566,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-2","aegritudo Perdicae","[Auctor incertus]",400,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-282","carmina epist. 32 inserta","Paulinus Nolanus",404,404,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-280","carminum appendix","Paulinus Nolanus",383,408,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-40","instructiones 2","Commodianus",225,275,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-602","ludus septem sapientium","Ausonius, Decimus Magnus",390,390,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-110","variae","[Auctor incertus]",300,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"IT-LAT0574_8","Periocha Odyssiae","Pseudo-Ausonius",330,380,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-35","versus in mulieres","Columbanus",490,800,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-123","in Caesares","uersus ex Historia Augusta",390,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-579","ephemeris","Ausonius, Decimus Magnus",368,380,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-444","carmina","Sidonius Apollinaris",469,469,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-118","*in genesin","Pseudo-Hilary",440,496,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-533","carminum libri 10","Venantius Fortunatus",590,605,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-121","carminis fragmentum","Hilarius Arelatensis",420,449,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-478","Valerius Proculus","Symmachus pater",375,375,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-179","e Graecis conuersa","Ambrosius Mediolanensis",374,397,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-524","carminum libri  1","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-93","hymnus in laudem Seuerini","Eugippius",511,1000,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-30","epistula metrica","Columbanus",575,675,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-244","uersus in Benedicti laudem","Marcus Casinensis",612,612,"Late","Late","Late_poetry","Late_poetry","poetry"
