"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-16","panegyricus dictus Honorio tertium consuli","Claudianus, Claudius",395,395,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-114","Alcestis Barcinonensis","[Auctor incertus]",350,400,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-354","alethia","Arator",554,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-367","cathemerinon","Prudentius, Aurelius Clemens",395,405,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-618","uersus de calice","Remigius Remensis Episcopus",473,533,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-277","carminum fragmenta","Parthenius Africanus Presbyter",500,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-181","*uersus de naturis rerum","Pseudo-Ambrose",1250,1300,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-76","carmina 2","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-609","de mortibus boum","Severus Endelechius",387,395,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-476","carmina epistulis inserta","Quintus Aurelius Symmachus",370,375,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-116","carminum fragmenta","Hieronymus",380,404,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-220","panegyricus poeticus","Merobaudes",437,446,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-54","iudicum","Cyprianus Gallus",400,425,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-211","epitaphium","Martinus Bracariensis",550,579,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-59","de laudibus dei","Dracontius",490,496,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-595","cento nuptialis","Ausonius, Decimus Magnus",368,369,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-355","in historiam praefatio","Arator",554,550,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-413","in metra Terentiana","Rufinus",375,500,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-60","satisfactio","Dracontius",490,496,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-84","Fides, opusc. 6","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-591","eclogae","Ausonius, Decimus Magnus",340,390,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-575","oratio","Gildas sapiens",480,700,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-481","Verinus","Symmachus pater",375,375,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-530","carminum libri  7","Venantius Fortunatus",576,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-445","epistulae, uersus inserti","Sidonius Apollinaris",469,482,"Late","Late","Late_poetry","Late_poetry","poetry"
