"id","title","creator","date_range_start","date_range_end","start_era","end_era","stratum_start","stratum_end","type"
"MQDQ-489","Phormio","Terentius",-161,-161,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-337","tragoediae fragmentum","Pompilius",-200,-100,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-315","Menaechmi","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-309","Bacchides","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-511","carminum fragmenta","Valerius Soranus",-130,-82,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-487","Hautontimorumenos","Terentius",-163,-163,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-327","fragmenta","Plautus, Titus Maccius",-205,-184,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-70","saturarum fragmenta","Ennius",-204,-169,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-488","Hecyra","Terentius",-165,-165,"Archaic","Archaic","Archaic_poetry","Archaic_poetry","poetry"
"MQDQ-633","carminum fragmenta","Licinius Caluus",-82,-47,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-522","carminum fragmenta","Varro, Marcus Terentius",-81,-27,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-567","carminum fragmenta","Volcacius Sedigitus",-125,-75,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-156","mimorum fragmenta","Decimus Laberius",-106,-43,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"MQDQ-184","carminum fragmenta","Aemilius Macer",-100,-16,"Archaic","Classical","Archaic_poetry","Classical_poetry","poetry"
"IT-LAT0405","De agricultura","Cato Porcius, Marcus",-160,-160,"Archaic","Archaic","Archaic_prose","Archaic_prose","prose"
"MQDQ-358","elegiae 3","Propertius",-30,-15,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-131","carmen saeculare","Horatius",-17,-17,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-265","Medea, fragmentum","Ovidius Naso, Publius",-25,-1,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-47","carminum fragmenta","Quintus Cornificius",-75,-41,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-419","tragoediarum fragmenta","Santra",-75,-25,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-519","carminum fragmenta","Varius",-43,-15,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-497","*elegiae 3","Tibullus",-27,-19,"Classical","Classical","Classical_poetry","Classical_poetry","poetry"
"MQDQ-391","de bello Aegiptiaco","Rabirius",-27,14,"Classical","Silver","Classical_poetry","Silver_poetry","poetry"
"MQDQ-239","obtrectatores Vergilii","Numitorius",-39,14,"Classical","Silver","Classical_poetry","Silver_poetry","poetry"
"MQDQ-302","fabulae 5","Phaedrus",1,50,"Classical","Silver","Classical_poetry","Silver_poetry","poetry"
"IT-LAT0047","Brutus","Cicero, Marcus Tullius",-46,-46,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0255","De finibus bonorum et malorum","Cicero, Marcus Tullius",-45,-45,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0137","In L. Calpurnium Pisonem","Cicero, Marcus Tullius",-55,-55,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0096","Pro Milone","Cicero, Marcus Tullius",-52,-51,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0320","Timaeus","Cicero, Marcus Tullius",-45,-45,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0128","Pro Flacco","Cicero, Marcus Tullius",-59,-59,"Classical","Classical","Classical_prose","Classical_prose","prose"
"IT-LAT0922_1","De haruspicum responso","Cicero, Marcus Tullius",-56,-56,"Classical","Classical","Classical_prose","Classical_prose","prose"
"MQDQ-601","technopaegnion","Ausonius, Decimus Magnus",388,390,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-220","panegyricus poeticus","Merobaudes",437,446,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-480","Petronius Probianus","Symmachus pater",375,375,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-281","carmen epist. 8 insertum","Paulinus Nolanus",396,396,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-523","uita Martini","Venantius Fortunatus",573,576,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-273","de insitione","Palladius Rutilius Taurus Aemilianus",425,475,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-365","*carmen de prouidentia","Pseudo-Prosper",416,416,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-28","epigramma","Claudianus, Claudius",394,404,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-618","uersus de calice","Remigius Remensis Episcopus",473,533,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-40","instructiones 2","Commodianus",225,275,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-110","variae","[Auctor incertus]",300,600,"Late","Late","Late_poetry","Late_poetry","poetry"
"MQDQ-77","dictiones, 12, 24, 28, uersus inserti","Ennodius",497,513,"Late","Late","Late_poetry","Late_poetry","poetry"
