id,title,creator,date,label,notes,,
MQDQ-288,carminum fragmenta,"Caecus, Appius Claudius",-312,non_late,,,
MQDQ-315,Menaechmi,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-309,Bacchides,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-318,Mostellaria,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-310,Captiui,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-317,Miles gloriosus,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-312,Cistellaria,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-319,Persa,"Plautus, Titus Maccius",-205,non_late,,,
MQDQ-70,saturarum fragmenta,Ennius,-204,non_late,,,
MQDQ-37,togatae fragmentum,comoediae incertorum,-200,non_late,,,
MQDQ-73,praetextarum fragmenta,Ennius,-200,non_late,,,
MQDQ-329,Ardeatis templi inscriptio,Marcus Plautius,-200,non_late,,,
MQDQ-323,Stichus,"Plautus, Titus Maccius",-200,non_late,,,
MQDQ-337,tragoediae fragmentum,Pompilius,-200,non_late,,,
MQDQ-503,palliatarum fragmenta,Trabea,-200,non_late,,,
MQDQ-311,Casina,"Plautus, Titus Maccius",-195,non_late,,,
MQDQ-327,fragmenta,"Plautus, Titus Maccius",-195,non_late,,,
MQDQ-68,annalium fragmenta dubia,Ennius,-184,non_late,,,
MQDQ-474,comoediarum fragmenta,Atilius,-175,non_late,,,
MQDQ-502,togatarum fragmenta,Titinius,-175,non_late,,,
MQDQ-488,Hecyra,Terentius,-165,non_late,,,
MQDQ-487,Hautontimorumenos,Terentius,-163,non_late,,,
MQDQ-489,Phormio,Terentius,-161,non_late,,,
IT-LAT0405,De agricultura,"Cato Porcius, Marcus",-160,non_late,,,
MQDQ-153,comoediarum fragmenta,Iuuentius,-150,non_late,,,
MQDQ-511,carminum fragmenta,Valerius Soranus,-130,non_late,,,
MQDQ-333,praetextarum fragmenta,Accius,-127,non_late,,,
MQDQ-332,tragoediarum fragmenta,Accius,-127,non_late,,,
MQDQ-139,belli Histrici fragmenta,Hostius,-112,non_late,,,
MQDQ-184,carminum fragmenta,Aemilius Macer,-100,non_late,,,
MQDQ-294,Atellanae fragmentum,Aprissius,-100,non_late,,,
MQDQ-214,carminum fragmenta,Matius,-100,non_late,,,
MQDQ-509,comoediae fragmentum,Valerius,-100,non_late,,,
MQDQ-567,carminum fragmenta,Volcacius Sedigitus,-100,non_late,,,
MQDQ-635,epigrammata,Valerius Aeditus,-99,non_late,,,
IT-LAT0955,Prognostica Aratea,"Cicero, Marcus Tullius",-89,non_late,,,
MQDQ-238,Atellanarum fragmenta,Nouius,-85,non_late,,,
MQDQ-633,carminum fragmenta,Licinius Caluus,-82,non_late,,,
IT-LAT0093,Pro Quinctio,"Cicero, Marcus Tullius",-81,non_late,,,
MQDQ-522,carminum fragmenta,"Varro, Marcus Terentius",-81,non_late,,,
MQDQ-494,carminis fragmentum,Atta,-80,non_late,,,
MQDQ-386,mimorum fragmenta,Publilius Syrus,-80,non_late,,,
MQDQ-331,carminis fragmentum,Asinius Pollio,-76,non_late,,,
MQDQ-47,carminum fragmenta,Quintus Cornificius,-75,non_late,,,
MQDQ-156,mimorum fragmenta,Decimus Laberius,-73,non_late,,,
MQDQ-521,"saturae Menippeae, fragmenta","Varro, Marcus Terentius",-70,non_late,,,
IT-LAT0922_11,Pro Fonteio,"Cicero, Marcus Tullius",-69,non_late,,,
IT-LAT0992,Epistula ad Quintum Catulum,"Catilina, Lucius Sergius",-63,non_late,,,
MQDQ-7,carminum fragmenta,Catullus,-61,non_late,,,
IT-LAT0128,Pro Flacco,"Cicero, Marcus Tullius",-59,non_late,,,
IT-LAT0922_1,De haruspicum responso,"Cicero, Marcus Tullius",-56,non_late,,,
IT-LAT0134,De provinciis consularibus,"Cicero, Marcus Tullius",-56,non_late,,,
IT-LAT0133,In Vatinium,"Cicero, Marcus Tullius",-56,non_late,,,
IT-LAT0137,In L. Calpurnium Pisonem,"Cicero, Marcus Tullius",-55,non_late,,,
IT-LAT0922_4,De oratore,"Cicero, Marcus Tullius",-55,non_late,,,
IT-LAT0922_12,Pro Scauro,"Cicero, Marcus Tullius",-54,non_late,,,
