id,title,creator,date_range_start,date_range_end,type,file,n_chars_raw,n_chars,n_words_raw,n_words,row_id,manual_label,prediction_source,prob_nb,score_nb_logit,label_nb_youden,label_nb_f1,prob_ridge,score_ridge_logit,label_ridge_youden,label_ridge_f1,prob_svm,score_svm_margin,score_svm_logit,label_svm_youden,label_svm_f1,prob_xgb,score_xgb_margin,score_xgb_logit,label_xgb_youden,label_xgb_f1,prob_lgb,score_lgb_margin,score_lgb_logit,label_lgb_youden,label_lgb_f1
IT-LAT0261,Carmen Saliare,[Auctor incertus],-750,-650,poetry,lat_0350_IT-LAT0261.txt,156,156,24,24,1,NA,full_fit,0.6543699002481044,0.6383036609503706,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5447851503327028,-0.36390319213215605,0.1796219927932788,non_late,late,0.2856141985031267,-0.7711395025253296,-0.9167812107638635,non_late,non_late,0.34838330244796983,-0.5723077512409268,-0.6261531844167962,non_late,late
IT-LAT0285,XII Tabularum Leges,[Auctor incertus],-450,-450,prose,lat_-0450_IT-LAT0285.txt,3199,3199,519,519,2,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.546338634795411,-0.13430689878720364,0.1858879656360797,non_late,late,0.6488440416808272,0.6221888661384583,0.6139619317714575,late,late,0.5278588499990455,0.12125406228300717,0.11155093092786487,non_late,late
IT-LAT0262,Carmen Arvale,[Auctor incertus],-400,-300,poetry,lat_0350_IT-LAT0262.txt,466,466,78,78,3,NA,full_fit,0.9955320584454075,5.406349526112844,non_late,late,0.5686813186813187,0.27647298791706093,late,late,0.5453503650357956,-0.280382775432224,0.18190137045759913,non_late,late,0.30712671389455637,-0.6772087812423706,-0.8135867228663871,non_late,non_late,0.36829114855210515,-0.4908912084571453,-0.5395548200063287,non_late,late
MQDQ-288,carminum fragmenta,"Caecus, Appius Claudius",-312,-279,poetry,lat_-0300_MQDQ-288.txt,88,88,12,12,4,non_late,oof,0.07960479318753642,-2.4477288434641693,non_late,non_late,0.5611368510228065,0.2457771860519719,non_late,late,0.5443739596557171,-0.31816837258318886,0.17796405042992433,non_late,late,0.3359588131993125,-0.4610041379928589,-0.681355603181306,non_late,non_late,0.31904766589700084,-0.6971505869379846,-0.7581517952278123,non_late,non_late
IT-LAT1006,Praecepta,"Marcius Vates, Gnaeus",-250,-218,prose,lat_-0229_IT-LAT1006.txt,196,196,27,27,5,NA,full_fit,0.1634878466358614,-1.6325023940766243,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5427297138850744,-0.6674880064971894,0.17133677975876266,non_late,late,0.3434968454275391,-0.5262588262557983,-0.6477495708651653,non_late,non_late,0.3600078726234489,-0.5245256715732031,-0.575329975694406,non_late,late
MQDQ-168,comoediarum fragmenta,Liuius Andronicus,-240,-207,poetry,lat_-0243_MQDQ-168.txt,96,96,14,14,6,NA,full_fit,0.07605848510761373,-2.4971461888362114,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5450246588723633,-0.32851368587682134,0.18058781711859953,non_late,late,0.285044342844469,-0.7736831903457642,-0.9195757657126119,non_late,non_late,0.36829114855210515,-0.4908912084571453,-0.5395548200063287,non_late,late
MQDQ-169,*carminum fragmenta,Liuius Andronicus,-240,-207,poetry,lat_-0243_MQDQ-169.txt,183,183,31,31,7,NA,full_fit,0.3649975608677822,-0.5537381690322715,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5459136623623236,-0.19712850219498124,0.18417348473066372,non_late,late,0.2968126255523171,-0.7217514514923096,-0.8625223424724778,non_late,non_late,0.350126879214381,-0.5650951620974975,-0.6184815442116302,non_late,late
MQDQ-167,tragoediarum fragmenta,Liuius Andronicus,-240,-207,poetry,lat_-0243_MQDQ-167.txt,1411,1411,218,218,8,NA,full_fit,4.573884447437461e-4,-7.689520046528628,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5491572738240197,0.2826159767598998,0.1972663175147657,non_late,late,0.4322748723559146,-0.1847643107175827,-0.2725757068787043,non_late,late,0.43223873700779497,-0.24002586691098243,-0.2727229511702255,non_late,late
MQDQ-228,comoediarum fragmenta,Naeuius,-235,-201,poetry,lat_-0234_MQDQ-228.txt,5113,5113,797,797,9,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5340120652749798,-1.9528110584755982,0.13625869021041423,non_late,late,0.3226773469607128,-0.6115885972976685,-0.7414948536097601,non_late,non_late,0.35116329753714076,-0.5608157077532392,-0.61392972053906,non_late,late
MQDQ-229,carminum fragmenta,Naeuius,-235,-201,poetry,lat_-0234_MQDQ-229.txt,253,253,37,37,10,late,oof,0.9408788890398588,2.7672263586989345,non_late,non_late,0.5684931506849313,0.27570588140506463,late,late,0.5589859997653859,0.13034178342702335,0.23704780619235663,late,late,0.3327827726101972,-0.5957232713699341,-0.695625728525755,non_late,non_late,0.32431246403447866,-0.7101244705513471,-0.7340232980508106,non_late,non_late
MQDQ-227,praetextarum fragmenta,Naeuius,-235,-201,poetry,lat_-0234_MQDQ-227.txt,249,249,36,36,11,NA,full_fit,0.0086894661823741,-4.7369163308138695,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5426899547819105,-0.6733582131577971,0.1711765744044813,non_late,late,0.42847590414547326,-0.19886963069438934,-0.2880721413972018,non_late,late,0.5265423240019905,0.11628836949560407,0.10626919261215208,non_late,late
MQDQ-226,tragoediarum fragmenta,Naeuius,-235,-201,poetry,lat_-0234_MQDQ-226.txt,2223,2223,347,347,12,NA,full_fit,9.147255921815223e-10,-20.812396993972243,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5424591206872668,-0.7074379774834023,0.17024649459072577,non_late,late,0.6473454771445136,0.616208016872406,0.6073912308466451,late,late,0.5578960828914687,0.2350859608624657,0.23262775263593408,non_late,late
MQDQ-237,elogium,[Auctor incertus],-247,-200,poetry,lat_-0255_MQDQ-237.txt,56,56,9,9,13,late,oof,0.29514350555490854,-0.870532530548836,non_late,non_late,0.540437857874881,0.16210548768856348,non_late,late,0.5244934775752538,-0.3467758573010129,0.09805239337654613,non_late,late,0.4651249901086692,-0.14127762615680695,-0.13972692782894644,late,late,0.394173243839736,-0.38275089705134036,-0.42980354644098084,non_late,late
MQDQ-323,Stichus,"Plautus, Titus Maccius",-200,-200,poetry,lat_-0218_MQDQ-323.txt,36470,36470,5850,5850,14,non_late,oof,1e-15,-34.538776394910684,non_late,non_late,0.5689655172413791,0.27763173659827894,late,late,0.5270433484725912,-10.038842538144953,0.1082790618520321,non_late,late,0.16473185448742278,-1.3385272026062012,-1.6234337780142982,non_late,non_late,0.18120680557032537,-1.2746656536975476,-1.5081925908745,non_late,non_late
MQDQ-321,Pseudolus,"Plautus, Titus Maccius",-191,-191,poetry,lat_-0218_MQDQ-321.txt,62688,62688,10186,10186,15,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.4228526570101811,-18.34386242050139,-0.31107380459213446,non_late,non_late,0.1608600449942697,-1.4402146339416504,-1.6518428030564616,non_late,non_late,0.17586819839084677,-1.4357929807570755,-1.5445956288138738,non_late,non_late
IT-LAT0380,Decretum Hastense,"Aemilius Paulus, Lucius",-189,-189,poetry,lat_-0199_IT-LAT0380.txt,289,289,41,41,16,NA,full_fit,0.056223722886075696,-2.8205503602305413,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5457918296008996,-0.21513661748005816,0.18368202051892746,non_late,late,0.32912943803496486,-0.5848553776741028,-0.7121251131113965,non_late,non_late,0.3810887476041891,-0.439534628011076,-0.4849296085163842,non_late,late
IT-LAT0952,Senatus consultum de Bacchanalibus,[Auctor incertus],-186,-186,prose,lat_-0185_IT-LAT0952.txt,4325,4325,682,682,17,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5596847742523958,1.8441601210710297,0.23988282956092644,late,late,0.16125482201659339,-1.437555193901062,-1.648921080010645,non_late,non_late,0.3179216028768329,-0.7012854589200626,-0.763339782478161,non_late,non_late
MQDQ-306,Amphitruo,"Plautus, Titus Maccius",-205,-184,poetry,lat_-0218_MQDQ-306.txt,56988,56988,9279,9279,18,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.49602037300526414,-7.5288642417367,-0.015918844136083497,non_late,non_late,0.1296487693833139,-1.669797420501709,-1.9040678234283543,non_late,non_late,0.17801698788380582,-1.4219209909675734,-1.5298407450296303,non_late,non_late
MQDQ-307,Asinaria,"Plautus, Titus Maccius",-205,-184,poetry,lat_-0218_MQDQ-307.txt,46542,46542,7574,7574,19,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.4497903412013807,-14.329538618820209,-0.201517837650832,non_late,non_late,0.06415018569508246,-2.37628173828125,-2.680228023042241,non_late,non_late,0.16843602547777542,-1.4848286637155061,-1.5967522274209596,non_late,non_late
MQDQ-308,Aulularia,"Plautus, Titus Maccius",-205,-184,poetry,lat_-0218_MQDQ-308.txt,39724,39724,6525,6525,20,NA,full_fit,1e-15,-34.538776394910684,non_late,non_late,0.5686813186813187,0.27647298791706093,late,late,0.5180646499415067,-4.296734286593818,0.072290064763425907,non_late,late,0.07165651520601155,-2.268228054046631,-2.561517717641338,non_late,non_late,0.11955576736512018,-1.860791624848722,-1.996643654885726,non_late,non_late
MQDQ-309,Bacchides,"Plautus, Titus Maccius",-205,-184,poetry,lat_-0218_MQDQ-309.txt,58007,58007,9316,9316,21,non_late,oof,1e-15,-34.538776394910684,non_late,non_late,0.5684931506849313,0.27570588140506463,late,late,0.5494232027592133,-2.597767690771766,0.19834047203402022,non_late,late,0.21514798949188893,-1.1422498226165771,-1.2941690638042758,non_late,non_late,0.11305167451888433,-1.9564043985204629,-2.059941712169928,non_late,non_late
MQDQ-310,Captiui,"Plautus, Titus Maccius",-205,-184,poetry,lat_-0218_MQDQ-310.txt,49921,49921,8206,8206,22,non_late,oof,1e-15,-34.538776394910684,non_late,non_late,0.5689655172413791,0.27763173659827894,late,late,0.5013863601983818,-17.887924009509966,0.005545455004669084,non_late,non_late,0.10897036654676918,-1.737512469291687,-2.1013017068400206,non_late,non_late,0.1412684463046938,-1.5350446647798888,-1.8047944080852634,non_late,non_late
MQDQ-311,Casina,"Plautus, Titus Maccius",-205,-184,poetry,lat_-0218_MQDQ-311.txt,42855,42855,7045,7045,23,non_late,oof,1e-15,-34.538776394910684,non_late,non_late,0.5689655172413791,0.27763173659827894,late,late,0.5271163287618795,-10.016473482545836,0.10857184181257329,non_late,late,0.21662174135131224,-1.0563459396362305,-1.2854629631792147,non_late,non_late,0.10627492577254241,-1.8199800960422974,-2.1293688288454566,non_late,non_late
