outer_fold,model,min_docfreq,lambda_1se,lambda_min,cost,candidate_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,log_loss,auc,best_nrounds,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction
1,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,ridge,3,112.14637657318563,1.6568255056912187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,svm_platt,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,xgboost,3,NA,NA,NA,1,0.03,3,1,0.8,0.8,0.5450395231883362,0.76950303030303,173,NA,NA,NA,NA,NA
1,lightgbm,3,NA,NA,NA,8,NA,NA,NA,NA,NA,0.5299479013055844,0.7845575757575762,84,0.05,31,20,0.8,0.8
2,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ridge,3,112.32061486057927,17.25441145435974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,svm_platt,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,xgboost,3,NA,NA,NA,2,0.03,3,5,0.8,0.8,0.5544689383733648,0.7753939393939396,128,NA,NA,NA,NA,NA
2,lightgbm,3,NA,NA,NA,4,NA,NA,NA,NA,NA,0.5269370978066921,0.7910303030303034,171,0.03,31,20,0.8,0.8
3,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ridge,3,102.55172119613785,2.420049837547633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,svm_platt,3,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,xgboost,3,NA,NA,NA,2,0.03,3,5,0.8,0.8,0.5547904464863093,0.7701759418626885,92,NA,NA,NA,NA,NA
3,lightgbm,3,NA,NA,NA,6,NA,NA,NA,NA,NA,0.4957440674533998,0.815021992732836,150,0.05,15,20,0.8,0.8
4,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ridge,3,64.27709253440669,6.181687853331828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,svm_platt,3,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,xgboost,3,NA,NA,NA,8,0.05,6,5,0.8,0.8,0.5419876660077063,0.7946787148594376,139,NA,NA,NA,NA,NA
4,lightgbm,3,NA,NA,NA,8,NA,NA,NA,NA,NA,0.5197093655252051,0.8140179766685791,88,0.05,31,20,0.8,0.8
5,naive_bayes,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ridge,3,112.74161165852522,24.607488435751712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,svm_platt,3,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,xgboost,3,NA,NA,NA,5,0.05,3,1,0.8,0.8,0.5279291856381685,0.7939376553834382,84,NA,NA,NA,NA,NA
5,lightgbm,3,NA,NA,NA,7,NA,NA,NA,NA,NA,0.5264884807777964,0.7986708739720787,44,0.05,31,10,0.8,0.8
