time,step,detail
2026-03-29 01:51:03,load_data,reading corpus and labels
2026-03-29 01:51:04,outer_fold_start,fold 1 of 5
2026-03-29 01:51:17,fit_nb,outer fold 1
2026-03-29 01:51:17,fit_ridge,outer fold 1
2026-03-29 01:51:21,tune_svm,outer fold 1
2026-03-29 01:51:21,svm_inner_fold,outer 1 cost 0.25 fold 1 of 5
2026-03-29 01:51:21,svm_inner_fold,outer 1 cost 0.25 fold 2 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 0.25 fold 3 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 0.25 fold 4 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 0.25 fold 5 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 1 fold 1 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 1 fold 2 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 1 fold 3 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 1 fold 4 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 1 fold 5 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 4 fold 1 of 5
2026-03-29 01:51:22,svm_inner_fold,outer 1 cost 4 fold 2 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 4 fold 3 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 4 fold 4 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 4 fold 5 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 16 fold 1 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 16 fold 2 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 16 fold 3 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 16 fold 4 of 5
2026-03-29 01:51:23,svm_inner_fold,outer 1 cost 16 fold 5 of 5
2026-03-29 01:51:23,tune_xgb,outer fold 1
2026-03-29 01:51:23,xgb_inner_fold,outer 1 candidate 1 of 8 fold 1 of 5
2026-03-29 01:51:26,xgb_inner_fold,outer 1 candidate 1 of 8 fold 2 of 5
2026-03-29 01:51:29,xgb_inner_fold,outer 1 candidate 1 of 8 fold 3 of 5
2026-03-29 01:51:33,xgb_inner_fold,outer 1 candidate 1 of 8 fold 4 of 5
2026-03-29 01:51:38,xgb_inner_fold,outer 1 candidate 1 of 8 fold 5 of 5
2026-03-29 01:51:42,xgb_inner_fold,outer 1 candidate 2 of 8 fold 1 of 5
2026-03-29 01:51:44,xgb_inner_fold,outer 1 candidate 2 of 8 fold 2 of 5
2026-03-29 01:51:46,xgb_inner_fold,outer 1 candidate 2 of 8 fold 3 of 5
