model,lambda_1se,lambda_min,cost,auc_margin,candidate_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,log_loss,auc,best_nrounds,learning_rate,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction
ridge,113.7703821472365,22.08842806030634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,1,0.676359272593003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,4,0.6620511400350769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,0.25,0.6468506723283792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
svm_platt,NA,NA,16,0.64555832487153475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,4,0.03,6,5,0.8,0.8,0.529910747518331,0.7994707529462436,192,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,2,0.03,3,5,0.8,0.8,0.5314011526422018,0.8021169882150222,256,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,1,0.03,3,1,0.8,0.8,0.5318716102881863,0.7986399581525591,223,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,3,0.03,6,1,0.8,0.8,0.5337274535128973,0.7954398596879901,117,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,6,0.05,3,5,0.8,0.8,0.5342979742314719,0.7967783624111512,104,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,7,0.05,6,1,0.8,0.8,0.5379201657297356,0.7945629096279888,116,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,5,0.05,3,1,0.8,0.8,0.5420709803989445,0.7897627619311359,104,NA,NA,NA,NA,NA
xgboost,NA,NA,NA,NA,8,0.05,6,5,0.8,0.8,0.5431456961166021,0.7900396935290313,83,NA,NA,NA,NA,NA
lightgbm,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,0.5455196572536751,0.7672543770577556,44,0.05,15,20,0.8,0.8
lightgbm,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0.5492851452926588,0.7645927567002058,57,0.05,31,20,0.8,0.8
lightgbm,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.5496067336097394,0.7688698113788115,74,0.03,15,10,0.8,0.8
lightgbm,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0.5498601541550515,0.7676543893658271,90,0.03,31,20,0.8,0.8
lightgbm,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0.5520101697811056,0.7684851841595123,44,0.05,31,10,0.8,0.8
lightgbm,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0.5527158366480727,0.7760854180128617,30,0.05,15,10,0.8,0.8
lightgbm,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0.5535725189552742,0.7653773962275768,71,0.03,31,10,0.8,0.8
lightgbm,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.554501278119734,0.7589771992984405,90,0.03,15,20,0.8,0.8
