"lemma","delta","mu_ch","mu_nc","mean_abs_shap","cnt_ch","cnt_nc","df_ch","df_nc","docfreq","df_rate_ch","df_rate_nc","log_odds","rare"
"christus",2.2126756411922,1.13160911450263,-1.08106652668957,1.54716472886375,1380,47,56,11,67,0.788732394366197,0.148648648648649,3.10574721609389,FALSE
"dominus",1.05828785745834,0.685826581366233,-0.372461276092103,0.876618020118115,1698,350,62,25,87,0.873239436619718,0.337837837837838,1.31441597689027,FALSE
"fortuna",0.618011465050047,0.312922527319158,-0.30508893773089,0.660570401981231,51,204,9,31,40,0.126760563380282,0.418918918918919,-1.64271027204889,FALSE
"angelus",0.566548386666154,0.236740737749391,-0.329807648916763,0.433754192451849,255,2,36,2,38,0.507042253521127,0.027027027027027,4.36320757353388,FALSE
"sanctus",0.479066201221573,0.303511860554672,-0.175554340666901,0.443796830816525,1604,135,61,26,87,0.859154929577465,0.351351351351351,2.20787171599443,FALSE
"ecclesia",0.437777746501833,0.204629453999818,-0.233148292502015,0.366242463231468,522,4,29,3,32,0.408450704225352,0.0405405405405405,4.49082348282697,FALSE
"aureus",0.310681268269833,0.124974164599579,-0.185707103670254,0.426730145741959,89,148,18,35,53,0.253521126760563,0.472972972972973,-0.770070437197671,FALSE
"gratia",0.241984427591328,0.150842542199906,-0.0911418853914215,0.317545050171458,426,138,51,27,78,0.71830985915493,0.364864864864865,0.861017937068615,FALSE
"lignum",0.194492751053163,0.115015127052095,-0.0794776240010683,0.191067034288015,134,72,33,11,44,0.464788732394366,0.148648648648649,0.354253532945539,FALSE
"sententia",0.179279982244717,0.0848634301044373,-0.09441655214028,0.16838165068507,293,92,36,20,56,0.507042253521127,0.27027027027027,0.890944890514046,FALSE
"phoebus",0.171975077642046,0.0823874608242129,-0.0895876168178328,0.17113142801993,23,126,7,25,32,0.0985915492957746,0.337837837837838,-1.94696599125319,FALSE
"optimus",0.169748521241028,0.0589092193291004,-0.110839301911928,0.343692585113248,15,55,9,17,26,0.126760563380282,0.22972972972973,-1.53926710106291,FALSE
"spiritus",0.160800281431737,0.0901281644554006,-0.070672116976336,0.142502057526639,537,93,51,16,67,0.71830985915493,0.216216216216216,1.48524321947145,FALSE
"corporeus",0.145299846533603,0.0773978246163744,-0.0679020219172287,0.135574169356436,40,6,19,4,23,0.267605633802817,0.0540540540540541,1.56577569297518,FALSE
"musa",0.143867382765059,0.0760897036804425,-0.0677776790846168,0.159036460467678,27,145,7,24,31,0.0985915492957746,0.324324324324324,-1.92971418617475,FALSE
"daps",0.107006542751918,0.0511443870384097,-0.0558621557135081,0.166731649445678,29,18,17,11,28,0.23943661971831,0.148648648648649,0.202895427025769,FALSE
"salus",0.10668091659444,0.0576104032351781,-0.0490705133592623,0.130130461360505,331,121,48,27,75,0.676056338028169,0.364864864864865,0.739989442609588,FALSE
"permisceo",0.098539021926457,0.00776864255592124,-0.0907703793705358,0.261489227367359,38,42,12,17,29,0.169014084507042,0.22972972972973,-0.362569938872358,FALSE
"mitto",0.0980537107071865,0.0464846107182534,-0.0515690999889331,0.141468064394433,598,270,46,30,76,0.647887323943662,0.405405405405405,0.530430322475766,FALSE
"petrus",0.0978951702678499,0.0512965836580699,-0.04659858660978,0.0804131104530609,114,14,29,3,32,0.408450704225352,0.0405405405405405,1.80270206933204,FALSE
"caelestis",-0.00113497780921837,4.94554976688722e-05,0.00118443330688724,0.00558067519056752,245,60,39,23,62,0.549295774647887,0.310810810810811,1.13692947796205,FALSE
"edo",-0.000933987463281155,0.000172848889152966,0.00110683635243412,0.00579805287370103,202,116,42,29,71,0.591549295774648,0.391891891891892,0.289124509305113,FALSE
"dignus",-0.000672165088247044,0.00289832295300481,0.00357048804125186,0.0204939555018846,271,108,37,29,66,0.52112676056338,0.391891891891892,0.65348786215775,FALSE
"uenio",-0.000312894766025436,-0.00210007218512629,-0.00178717741910086,0.0124809052230937,1056,520,52,45,97,0.732394366197183,0.608108108108108,0.444202844765362,FALSE
"respondeo",-0.000255011539280412,0.00284923699017652,0.00310424852945693,0.0090456018629332,362,111,31,21,52,0.436619718309859,0.283783783783784,0.91527577915883,FALSE
"lumen",-0.000203269440248391,0.00111701248281891,0.0013202819230673,0.0090993192970736,457,398,42,34,76,0.591549295774648,0.45945945945946,-0.12565471775042,FALSE
