"lemma","delta","log_odds","df_rate_ch","df_rate_nc","df_gap","rare"
"christus",2.2126756411922,3.10574721609389,0.788732394366197,0.148648648648649,0.640083745717548,FALSE
"dominus",1.05828785745834,1.31441597689027,0.873239436619718,0.337837837837838,0.53540159878188,FALSE
"sanctus",0.479066201221573,2.20787171599443,0.859154929577465,0.351351351351351,0.507803578226113,FALSE
"spiritus",0.160800281431737,1.48524321947145,0.71830985915493,0.216216216216216,0.502093642938713,FALSE
"angelus",0.566548386666154,4.36320757353388,0.507042253521127,0.027027027027027,0.4800152264941,FALSE
"ecclesia",0.437777746501833,4.49082348282697,0.408450704225352,0.0405405405405405,0.367910163684812,FALSE
"petrus",0.0978951702678499,1.80270206933204,0.408450704225352,0.0405405405405405,0.367910163684812,FALSE
"gratia",0.241984427591328,0.861017937068615,0.71830985915493,0.364864864864865,0.353444994290065,FALSE
"lignum",0.194492751053163,0.354253532945539,0.464788732394366,0.148648648648649,0.316140083745718,FALSE
"salus",0.10668091659444,0.739989442609588,0.676056338028169,0.364864864864865,0.311191473163304,FALSE
"fortuna",0.618011465050047,-1.64271027204889,0.126760563380282,0.418918918918919,-0.292158355538637,FALSE
"mitto",0.0980537107071865,0.530430322475766,0.647887323943662,0.405405405405405,0.242481918538257,FALSE
"phoebus",0.171975077642046,-1.94696599125319,0.0985915492957746,0.337837837837838,-0.239246288542063,FALSE
"caelestis",-0.00113497780921837,1.13692947796205,0.549295774647887,0.310810810810811,0.238484963837077,FALSE
"sententia",0.179279982244717,0.890944890514046,0.507042253521127,0.27027027027027,0.236771983250856,FALSE
"musa",0.143867382765059,-1.92971418617475,0.0985915492957746,0.324324324324324,-0.22573277502855,FALSE
"aureus",0.310681268269833,-0.770070437197671,0.253521126760563,0.472972972972973,-0.21945184621241,FALSE
"corporeus",0.145299846533603,1.56577569297518,0.267605633802817,0.0540540540540541,0.213551579748763,FALSE
"edo",-0.000933987463281155,0.289124509305113,0.591549295774648,0.391891891891892,0.199657403882756,FALSE
"respondeo",-0.000255011539280412,0.91527577915883,0.436619718309859,0.283783783783784,0.152835934526075,FALSE
"lumen",-0.000203269440248391,-0.12565471775042,0.591549295774648,0.45945945945946,0.132089836315188,FALSE
"dignus",-0.000672165088247044,0.65348786215775,0.52112676056338,0.391891891891892,0.129234868671488,FALSE
"uenio",-0.000312894766025436,0.444202844765362,0.732394366197183,0.608108108108108,0.124286258089075,FALSE
"optimus",0.169748521241028,-1.53926710106291,0.126760563380282,0.22972972972973,-0.102969166349448,FALSE
"daps",0.107006542751918,0.202895427025769,0.23943661971831,0.148648648648649,0.0907879710696612,FALSE
"permisceo",0.098539021926457,-0.362569938872358,0.169014084507042,0.22972972972973,-0.0607156452226875,FALSE
