term,n_models,christian_votes,non_christian_votes,mean_z,median_z,mean_abs_z,mean_abs_contrib,mean_rank_abs,mean_present_rate,mean_n_present,mean_n_present_ch,mean_n_present_nc,agreement_prop,all_agree,direction
christus,5,5,0,71.54607933422282,57.43710699967811,71.54607933422282,19.29697017853826,2.4,0.19889502762430938,72,61,11,1,TRUE,christian
sanctus,5,5,0,21.10964126075781,21.262753539769513,21.10964126075781,7.469905238499462,14.2,0.4143646408839779,150,66,84,1,TRUE,christian
ecclesia,5,5,0,12.979332131924561,14.363524015077282,12.979332131924561,17.59218584135579,22.8,0.09668508287292818,35,32,3,1,TRUE,christian
angelus,5,5,0,11.825661614963254,9.944282072716033,11.825661614963254,8.099979793376956,14,0.11602209944751381,42,40,2,1,TRUE,christian
dominus,5,5,0,11.75229180256445,14.101671027341169,11.75229180256445,5.350490362133896,22.4,0.49171270718232046,178,67,111,1,TRUE,christian
spiritus,5,5,0,9.04183238029311,9.386151107311832,9.04183238029311,2.9605127381496135,66.6,0.3287292817679558,119,56,63,1,TRUE,christian
codex,5,5,0,8.426981345400177,5.785795725659729,8.426981345400177,3.025625328995696,59.4,0.055248618784530384,20,12,8,1,TRUE,christian
gratia,5,5,0,7.870717822310734,4.715404942927106,7.870717822310734,0.9211979078787345,445,0.44751381215469616,162,55,107,1,TRUE,christian
apostolus,5,5,0,7.756775235205728,8.761231669621667,7.756775235205728,10.707889959704511,61.2,0.08839779005524862,32,31,1,1,TRUE,christian
caro,5,5,0,6.831025627202713,5.909965323023326,6.831025627202713,3.6835766644567918,49.2,0.23756906077348067,86,48,38,1,TRUE,christian
laurus,5,0,5,-6.603422067459344,-4.019543811034849,6.603422067459344,1.1104700133555312,408.2,0.1270718232044199,46,4,42,1,TRUE,non_christian
anima,5,5,0,5.398314017844653,3.1546087849523223,5.398314017844653,3.882720727637691,53.4,0.35082872928176795,127,53,74,1,TRUE,christian
cor,5,5,0,4.845255335215256,3.6546399652872754,4.845255335215256,2.088334095557485,118.4,0.39226519337016574,142,56,86,1,TRUE,christian
origo,5,5,0,3.939446798975966,4.576789838863895,3.939446798975966,0.5802972307263781,766.2,0.2154696132596685,78,29,49,1,TRUE,christian
sacerdos,5,5,0,3.6609413874678136,3.3172683914154457,3.6609413874678136,2.4596624214672227,108.4,0.212707182320442,77,37,40,1,TRUE,christian
romanus,5,0,5,-3.3506086027948405,-1.9090756550559085,3.3506086027948405,2.420029433106445,153.8,0.3756906077348066,136,26,110,1,TRUE,non_christian
mereo,5,5,0,3.128145096798732,2.9704671378876006,3.128145096798732,0.9416833712707565,366.2,0.4585635359116022,166,55,111,1,TRUE,christian
fatum,5,0,5,-2.9176309267862632,-2.2473452673878045,2.9176309267862632,2.3031893615135783,129.6,0.2955801104972376,107,14,93,1,TRUE,non_christian
surgo,5,5,0,2.5963585426168345,1.170192149391358,2.5963585426168345,0.5709760370990002,726.6,0.2955801104972376,107,44,63,1,TRUE,christian
cerno,5,5,0,2.561217893452914,1.4239054591000073,2.561217893452914,1.009370995364312,349.8,0.35359116022099446,128,45,83,1,TRUE,christian
caelestis,5,5,0,2.471875314231633,1.2212111175493114,2.471875314231633,1.341509754593675,252.6,0.27071823204419887,98,43,55,1,TRUE,christian
salus,5,5,0,2.293857090317496,1.1482276043075963,2.293857090317496,0.8081853262782175,453.6,0.39502762430939226,143,52,91,1,TRUE,christian
fidelis,5,5,0,2.2811976502733433,0.773186871754875,2.2811976502733433,0.9250200876603479,462,0.23204419889502761,84,36,48,1,TRUE,christian
eximius,5,5,0,2.1191893439469736,1.7930016069168415,2.1191893439469736,0.19661074807405146,2232.2,0.143646408839779,52,21,31,1,TRUE,christian
iustitia,5,5,0,1.5115655031687238,0.5777775226947361,1.5115655031687238,0.6792951342841724,666.2,0.21823204419889503,79,36,43,1,TRUE,christian
pando,5,5,0,1.1367685621488093,0.43828367597520473,1.1367685621488093,0.4229166847421632,1090.4,0.1850828729281768,67,26,41,1,TRUE,christian
sacrificium,5,5,0,1.0682352551574317,0.7658682862002254,1.0753220544578141,0.9059097686444245,509.4,0.08839779005524862,32,16,16,1,TRUE,christian
meritum,5,5,0,1.0237226186716875,0.6269919915173051,1.0237226186716875,0.9099608744244223,432.4,0.31215469613259667,113,43,70,1,TRUE,christian
angustus,5,0,5,-0.6792761197894768,-0.4825492535495491,0.6792761197894768,0.6225037833995671,891.8,0.1878453038674033,68,14,54,1,TRUE,non_christian
episcopus,5,4,0,16.59621387659474,11.141490172848638,16.602088228875523,70.75042286993607,121.2,0.049723756906077346,18,18,0,0.8,FALSE,christian
