term,n_models,christian_votes,non_christian_votes,mean_z,median_z,mean_abs_z,mean_abs_contrib,mean_rank_abs,mean_present_rate,mean_n_present,mean_n_present_ch,mean_n_present_nc,agreement_prop,all_agree,direction
fortuna,5,0,4,-16.175091418067677,-9.614773715487273,16.175091418067677,4.827299560816074,58.6,0.3674033149171271,133,9,124,0.8,FALSE,non_christian
laurus,5,0,5,-6.603422067459344,-4.019543811034849,6.603422067459344,1.1104700133555312,408.2,0.1270718232044199,46,4,42,1,TRUE,non_christian
romanus,5,0,5,-3.3506086027948405,-1.9090756550559085,3.3506086027948405,2.420029433106445,153.8,0.3756906077348066,136,26,110,1,TRUE,non_christian
fatum,5,0,5,-2.9176309267862632,-2.2473452673878045,2.9176309267862632,2.3031893615135783,129.6,0.2955801104972376,107,14,93,1,TRUE,non_christian
nomen,5,1,2,-2.7177301542902854,-0.06197930491072715,3.0852248722389,1.1390686491737727,1300,0.6022099447513812,218,55,163,0.4,FALSE,non_christian
musa,5,0,4,-2.6950654184364624,-1.1326205773580869,2.6950654184364624,0.973024399844444,364.4,0.19337016574585636,70,8,62,0.8,FALSE,non_christian
iuppiter,5,0,4,-2.6700997026366142,-1.104927372931531,2.6700997026366142,1.4217342266723123,245.6,0.35359116022099446,128,15,113,0.8,FALSE,non_christian
phoebus,5,0,4,-2.059610228453338,-1.4149099153079185,2.059610228453338,2.1981784769807784,152.2,0.19613259668508287,71,7,64,0.8,FALSE,non_christian
pompeius,5,0,2,-1.923375138966093,-0.06197930491072715,1.923375138966093,7.954072851323962,365,0.13535911602209943,49,4,45,0.4,FALSE,non_christian
ops,5,1,3,-1.832363635648048,-0.28303703491138654,1.832363635648048,0.41715985726464644,1286.4,0.43370165745856354,157,33,124,0.6,FALSE,non_christian
progenitor,5,1,1,-1.7474626112813423,-0.014685880701958455,1.8254289425780492,0.20685411986768157,2177.6,0.011049723756906077,4,2,2,0.2,FALSE,non_christian
arma,5,0,4,-1.7296399957072102,-2.2874261880754707,1.7296399957072102,3.019875376484336,154,0.43370165745856354,157,38,119,0.8,FALSE,non_christian
nouus,5,0,3,-1.681528961362206,-0.14690599367190751,1.681528961362206,0.26944868805491146,4333.4,0.5082872928176796,184,46,138,0.6,FALSE,non_christian
optimus,5,0,4,-1.675217578532095,-1.292651587172662,1.675217578532095,1.6343031562526384,219.4,0.212707182320442,77,11,66,0.8,FALSE,non_christian
caesar,5,0,3,-1.652153444104252,-0.0655830436573848,1.652153444104252,5.104071683104836,301.4,0.2513812154696133,91,17,74,0.6,FALSE,non_christian
ualitudo,5,0,2,-1.615961029410358,-0.06197930491072715,1.615961029410358,9.239927864858833,1377,0.022099447513812154,8,2,6,0.4,FALSE,non_christian
bene,5,0,4,-1.555309133349103,-1.2403107416926953,1.555309133349103,1.5763991928239947,275.4,0.4198895027624309,152,32,120,0.8,FALSE,non_christian
ennius,5,0,2,-1.4794701019285341,-0.06197930491072715,1.4794701019285341,3.3401902264106793,357.4,0.07458563535911603,27,4,23,0.4,FALSE,non_christian
senatus,5,0,2,-1.441330745671034,-0.06197930491072715,1.441330745671034,4.693331246214969,366,0.24033149171270718,87,14,73,0.4,FALSE,non_christian
consul,5,0,3,-1.3557851271501251,-0.3860720392110737,1.3557851271501251,4.034044980343593,240.4,0.2900552486187845,105,19,86,0.6,FALSE,non_christian
sto,5,0,4,-1.3506393690993155,-0.21314411048155127,1.3506393690993155,0.6426970472458013,3096.2,0.46408839779005523,168,43,125,0.8,FALSE,non_christian
animus,5,0,4,-1.348520390875265,-1.7125771016150724,1.348520390875265,2.621473179677737,195.8,0.5469613259668509,198,46,152,0.8,FALSE,non_christian
nascor,5,1,3,-1.3412396013723196,-0.06197930491072715,1.3549170703837459,0.02581275481530528,3961.4,0.5469613259668509,198,46,152,0.6,FALSE,non_christian
uetus,5,0,4,-1.3083207663118508,-0.8771249786871602,1.3083207663118508,1.1314597353493656,522.4,0.43922651933701656,159,39,120,0.8,FALSE,non_christian
scipio,5,0,3,-1.2929180801103721,-0.25613975245398896,1.2929180801103721,5.198234505363318,329.8,0.12430939226519337,45,4,41,0.6,FALSE,non_christian
utor,5,0,3,-1.2874552506172705,-1.6921278190717801,1.2874552506172705,2.1166075847029404,304.2,0.4198895027624309,152,36,116,0.6,FALSE,non_christian
participium,5,0,2,-1.2868129440130418,-0.06197930491072715,1.2868129440130418,7.6393686522409165,3081.8,0.011049723756906077,4,2,2,0.4,FALSE,non_christian
soleo,5,0,4,-1.2662718372455364,-1.0961268742283599,1.2662718372455364,1.3929016849668523,324.8,0.494475138121547,179,42,137,0.8,FALSE,non_christian
ingenium,5,1,3,-1.2569429874751485,-0.615691282551746,1.2569429874751485,0.807873413567874,579.2,0.36187845303867405,131,29,102,0.6,FALSE,non_christian
publica,5,0,2,-1.2550663013094794,-0.06197930491072715,1.2550663013094794,3.102399968796748,378.6,0.17955801104972377,65,10,55,0.4,FALSE,non_christian
deus,5,3,1,3.153215171420626,0.38125586930284733,3.5692481752054683,9.342670488817834,54.4,0.6574585635359116,238,66,172,0.6,FALSE,christian
suesco,5,4,0,3.1763949800673026,0.618282498801583,3.182269332348086,0.7528219511820309,633.4,0.06629834254143646,24,14,10,0.8,FALSE,christian
mundanus,5,4,0,3.2815336424919654,0.9462468119441698,3.287407994772749,1.1500672946464994,386.8,0.04419889502762431,16,13,3,0.8,FALSE,christian
passio,5,3,0,3.3650963742651023,3.1370339587478617,3.372088510337293,3.8104558473563075,316,0.07734806629834254,28,25,3,0.6,FALSE,christian
sacerdos,5,5,0,3.6609413874678136,3.3172683914154457,3.6609413874678136,2.4596624214672227,108.4,0.212707182320442,77,37,40,1,TRUE,christian
lignum,5,4,0,3.731417371427116,0.5989695296637758,3.7372917237078993,0.7320461729658891,607.6,0.2154696132596685,78,36,42,0.8,FALSE,christian
origo,5,5,0,3.939446798975966,4.576789838863895,3.939446798975966,0.5802972307263781,766.2,0.2154696132596685,78,29,49,1,TRUE,christian
daemon,5,4,0,4.244780396721052,2.6306129845318216,4.250654749001836,3.213393419760269,174.6,0.07458563535911603,27,24,3,0.8,FALSE,christian
egenus,5,3,0,4.28627502712735,0.7762204762683159,4.29326716319954,0.9549143776370311,594.4,0.08287292817679558,30,20,10,0.6,FALSE,christian
cor,5,5,0,4.845255335215256,3.6546399652872754,4.845255335215256,2.088334095557485,118.4,0.39226519337016574,142,56,86,1,TRUE,christian
resurgo,5,4,0,4.913727061470788,1.2511324271522175,4.919601413751573,1.5422768194628105,281.8,0.13259668508287292,48,29,19,0.8,FALSE,christian
daps,5,4,1,4.978462060391962,6.590730199487146,4.978462060391962,0.08441792908949161,3701.4,0.13535911602209943,49,17,32,0.8,FALSE,christian
attamen,5,4,0,5.082756529291087,0.7985409104025056,5.088630881571871,0.9899567220704766,522.6,0.06077348066298342,22,15,7,0.8,FALSE,christian
