model_1,model_2,correlation
naive_bayes,naive_bayes,1
ridge,naive_bayes,0.23660223694665258
svm_platt,naive_bayes,0.46359754655607927
xgboost,naive_bayes,0.133321924217516
lightgbm,naive_bayes,0.13053645347711135
naive_bayes,ridge,0.23660223694665258
ridge,ridge,1
svm_platt,ridge,0.49583336774260534
xgboost,ridge,0.37470176441606
lightgbm,ridge,0.40438136650232825
naive_bayes,svm_platt,0.46359754655607927
ridge,svm_platt,0.49583336774260534
svm_platt,svm_platt,1
xgboost,svm_platt,0.47856707508568014
lightgbm,svm_platt,0.47905690614667507
naive_bayes,xgboost,0.133321924217516
ridge,xgboost,0.37470176441606
svm_platt,xgboost,0.47856707508568014
xgboost,xgboost,1
lightgbm,xgboost,0.9134012569278591
naive_bayes,lightgbm,0.13053645347711135
ridge,lightgbm,0.40438136650232825
svm_platt,lightgbm,0.47905690614667507
xgboost,lightgbm,0.9134012569278591
lightgbm,lightgbm,1
