model,term,mu_all,mu_ch,mu_nc,mean_abs_contrib,n_present,n_present_ch,n_present_nc,present_rate,direction,z_mu_all,z_abs,rank_abs,rank_pos,rank_neg,side
lightgbm,christus,2.657974503943278,2.693566005731936,2.460603448569812,2.657974503943278,72,61,11,0.19889502762430938,christian,123.95551969585125,120.66276158497489,1,1,18536,christian
lightgbm,sanctus,0.8871145359549456,1.5594716818586616,0.35883392131631203,1.0218699800532434,150,66,84,0.4143646408839779,christian,41.36109527488362,46.374978401839876,2,2,18535,christian
lightgbm,spiritus,0.35857078762514366,0.5568183462256877,0.18235073553577108,0.410889657395938,119,56,63,0.3287292817679558,christian,16.709362521450917,18.63324608830072,5,3,18534,christian
lightgbm,dominus,0.3026607609113994,0.6735162565355943,0.07881104733643494,0.4558584263380219,178,67,111,0.49171270718232046,christian,14.101671027341169,20.675065610466255,3,4,18533,christian
lightgbm,caulae,0.1899490531899378,0.18507361596217534,0.20457536487322514,0.19163445664089648,8,6,2,0.022099447513812154,christian,8.844700519766972,8.677902418240672,7,5,18532,christian
lightgbm,gratia,0.14556145963349856,0.21848000062057266,0.10807996660275955,0.14906160970483318,162,55,107,0.44751381215469616,christian,6.774425169090512,6.744870404396285,8,6,18531,christian
lightgbm,angelus,0.13244292410528694,0.13115888586772984,0.1581236888564288,0.13244292410528694,42,40,2,0.11602209944751381,christian,6.1625654451228895,5.990294339981737,9,7,18530,christian
lightgbm,capet,0.10206034112520546,0.1126762003947208,0.09144448185569008,0.1041557589916266,8,4,4,0.022099447513812154,christian,4.745495773310955,4.705907701997978,10,8,18529,christian
lightgbm,dator,0.07561501875361143,0.08743075670224902,0.061436133215246325,0.07792865193824773,11,6,5,0.03038674033149171,christian,3.512063305813255,3.5150585760082547,14,11,18526,christian
lightgbm,cor,0.07186484743291138,0.11816454690596245,0.0417162059155758,0.0825991222701939,142,56,86,0.39226519337016574,christian,3.33715210599371,3.727122586783034,13,12,18525,christian
lightgbm,sacerdos,0.07143853204408938,0.08964960629849972,0.05459328835875983,0.07259015811119493,77,37,40,0.212707182320442,christian,3.3172683914154457,3.2726627717318415,15,13,18524,christian
lightgbm,polus,0.06370509446659689,0.07247209793705366,0.05730755139356083,0.07023285827765048,64,27,37,0.17679558011049723,christian,2.9565742444727765,3.1656289139465055,16,14,18523,christian
lightgbm,daps,0.0610432855535908,0.09585587065984075,0.04254909971589552,0.0687842378759808,49,17,32,0.13535911602209943,christian,2.8324251987760203,3.0998538997328438,17,15,18522,christian
lightgbm,impollutus,0.054053723376092856,0.04761981653794011,0.06692153705239837,0.054053723376092856,6,4,2,0.016574585635359115,christian,2.5064260371027176,2.4310107718244396,18,16,18521,christian
lightgbm,codex,0.05192248396714425,0.059110487359719736,0.04114047887828104,0.05362843611943656,20,12,8,0.055248618784530384,christian,2.407023207140189,2.411700485072151,19,18,18519,christian
lightgbm,naufragus,0.046819899337910836,0.04937123927836537,0.04618206435279721,0.04741531659584618,20,4,16,0.055248618784530384,christian,2.16903429320615,2.129592056594749,24,19,18518,christian
lightgbm,origo,0.045830008838370066,0.11237687280099497,0.0064451301666124715,0.05362122095067055,78,29,49,0.2154696132596685,christian,2.1228649531525536,2.411372878317758,20,20,18517,christian
lightgbm,mysticus,0.043824423770698444,0.039591052785352056,0.04946891841782698,0.044591278417516755,21,12,9,0.058011049723756904,christian,2.0293227492030224,2.001365813815451,27,21,18516,christian
lightgbm,caro,0.04344670256488074,0.0595893979982321,0.023055929385910584,0.04996659318158927,86,48,38,0.23756906077348067,christian,2.0117055089073106,2.2454334830283518,22,22,18515,christian
lightgbm,hyacinthus,0.04271855030960767,0.06072726345352377,0.031463104594660105,0.04271855030960767,13,5,8,0.03591160220994475,christian,1.977743864563727,1.9163340706658527,30,23,18514,christian
lightgbm,arietes,0.041657878347057795,0.070910096951836,0.029121213230724287,0.04340289960125637,10,3,7,0.027624309392265192,christian,1.9282732165001293,1.9474071415223868,29,24,18513,christian
lightgbm,sacrificium,0.04067623916188458,0.05523381239335712,0.026118665930412073,0.04459802193222903,32,16,16,0.08839779005524862,christian,1.8824887248101667,2.001672004985711,26,25,18512,christian
lightgbm,parturio,0.040519224014195464,0.05753956648921553,0.025626424348552942,0.044064390803462375,30,14,16,0.08287292817679558,christian,1.8751654039473162,1.977442334439153,28,26,18511,christian
