"target","proxy","corr"
"aeque","malo",0.519513690958329
"aeque","domus",0.495982126845712
"aeque","audio",0.480690332669157
"aeque","ludus",0.475813559961764
"aeque","aetas",0.454250495659993
"aeque","status",0.449797942459013
"aeque","opera",0.445274421389567
"aeque","uter",0.443984819460394
"aeque","maior",0.420261073250113
"aeque","hercules",0.416600046593431
"astrum","gurges",0.352297019567644
"astrum","sollers",-0.310373315069074
"astrum","niteo",0.287525350082794
"astrum","iussus",-0.268903518784647
"astrum","ligo",0.266679322892654
"astrum","leuo",0.263911208949236
"astrum","aura",-0.262117161972845
"astrum","luna",0.257593558544091
"astrum","orbis",-0.254114257873494
"astrum","ordo",0.252264735647962
"aureus","mensa",0.416096594039034
"aureus","subeo",0.394673520021942
"aureus","lux",0.392948359721793
"aureus","primus",0.362459039793743
"aureus","pono",0.355558938331579
"aureus","praedico",0.34769683598702
"aureus","finis",0.343417294645461
"aureus","puto",0.342755365376332
"aureus","auctor",0.3416093129143
"aureus","origo",0.336615705165605
"cano","carmen",0.468467130612813
"cano","cantus",0.384580719362297
"cano","fides",0.279964173657898
"cano","placidus",-0.276682820708819
"cano","pectus",-0.273555665098306
"cano","fluctus",-0.27183638043813
"cano","os",-0.26527865412434
"cano","ter",0.260729750865765
"cano","pius",-0.259959047248164
"cano","subito",0.259275814074209
"cerno","sensus",0.460820488399719
"cerno","cunctus",0.453301772608314
"cerno","fluctus",0.445574771654522
"cerno","placidus",0.442052841674234
"cerno","finis",0.427676842845696
"cerno","pius",0.426891676094259
"cerno","pectus",0.416284361588805
"cerno","subeo",0.41330435996184
"cerno","uolucer",0.409538910463126
"cerno","doceo",0.40776713365272
"christus","propheta",0.635336731150535
"christus","omnipotens",0.419873128487437
"christus","impleo",0.394248875570193
"christus","operor",0.386198347426813
"christus","dominus",0.384468175774418
"christus","discipulus",0.383877397213408
"christus","monstro",0.358536748605402
"christus","praedico",0.355677931240119
"christus","proprius",0.352338152594688
"christus","fortuna",0.346898589019504
"confundo","plaga",0.456612685781707
"confundo","curro",0.451914496900368
"confundo","spiritus",-0.429989151553145
"confundo","uirgo",0.406479857437851
"confundo","discipulus",-0.36331675941403
"confundo","iussus",-0.338724771799727
"confundo","formido",-0.337823199479866
"confundo","gero",0.336750053963773
"confundo","constantia",0.334512605780334
"confundo","regulus",0.333714566010766
"curro","gero",0.565911142892678
"curro","imus",0.47880873967143
"curro","confundo",0.451914496900368
"curro","uro",0.399616309632763
"curro","teneo",-0.393132887221679
"curro","uirgo",0.39068735801
"curro","aura",-0.387359223544404
"curro","stringo",-0.358911055568263
"curro","duco",0.352611909400211
"curro","loquor",-0.351694337821136
"debeo","scio",0.377344687100284
"debeo","duo",0.367139510431366
"debeo","uerbum",0.365891938803377
"debeo","bene",0.354270030758627
"debeo","manus",0.339313556962811
"debeo","uoco",0.338568583019961
"debeo","puto",-0.337646726975473
"debeo","audio",0.335850364547994
"debeo","teneo",-0.331231947492861
"debeo","maior",0.328395357603778
"deus","caput",0.324898247777166
"deus","corpus",-0.313294755773705
"deus","uirtus",-0.304528246607529
"deus","totus",0.284718963124168
"deus","mos",-0.282718559820964
"deus","pater",-0.272366887580401
"deus","rex",0.272177881816195
"deus","pono",-0.26173674729238
"deus","uolo",0.25989886395816
"deus","unus",-0.259166569066613
"domus","audio",0.648651162334765
"domus","domi",0.580758120836248
"domus","uxor",0.572663718348699
"domus","miser",0.568817806604685
"domus","nuntio",0.555740124409005
"domus","aetas",0.552307770663233
"domus","ludus",0.537389458252354
"domus","utor",0.52631944160728
"domus","dica",0.514402213506611
"domus","cito",0.511773523792144
"facile","testimonium",0.558023740374971
"facile","spiritus",0.552499591658407
"facile","desidero",0.531245521984594
"facile","inuicem",0.523575672815393
"facile","propterea",-0.481076096371146
"facile","perseuero",-0.474809648235353
"facile","deputo",-0.453640432836755
"facile","solitudo",-0.402179254587179
"facile","necessarius",0.39856062077955
"facile","pertineo",0.380445512230365
"fauor","iussus",0.378862419629287
"fauor","mixtus",0.378459334405051
"fauor","impleo",0.354982343147394
"fauor","maximus",0.349044171601951
"fauor","restituo",0.346089948575381
"fauor","arx",0.328462000730359
"fauor","sollers",0.325190335019168
"fauor","fateor",0.324096617753198
"fauor","grauis",-0.322277996651348
"fauor","formido",0.319683143558393
"flexus","mixtus",0.442796250147408
"flexus","internus",0.430748002134462
"flexus","sceptrum",0.381668703025125
"flexus","arx",0.376682024187732
"flexus","aura",0.364326284078142
"flexus","nomen",0.344537511603006
"flexus","formido",0.344400395013368
"flexus","origo",0.344004030955463
"flexus","sensus",0.339004805879834
"flexus","spatium",0.335016502656482
"fluctus","sensus",0.504345744248851
"fluctus","subeo",0.496600698472483
"fluctus","finis",0.489678825376415
"fluctus","proprius",0.47949068347172
"fluctus","tergum",0.463178919766967
"fluctus","desero",0.458898735636085
"fluctus","pius",0.453109026415698
"fluctus","arx",0.447650697981552
"fluctus","cerno",0.445574771654522
"fluctus","formido",0.44424647034989
"genetrix","sollers",-0.468070742867441
"genetrix","gurges",0.387727270014368
"genetrix","uolucris",0.387665318307024
"genetrix","lacrima",0.337458422687446
"genetrix","fax",0.302767441766525
"genetrix","aura",-0.298783811349725
"genetrix","comprimo",0.293707220695395
"genetrix","sceptrum",-0.29228714611589
"genetrix","bacchus",0.29128702301574
"genetrix","libens",0.283482677846347
"gero","curro",0.565911142892678
"gero","teneo",-0.551288512099746
"gero","uirgo",0.531417028936707
"gero","imus",0.501756415428188
"gero","uir",0.3954594474105
"gero","dies",0.363150887722205
"gero","propheta",-0.353772881812405
"gero","praedico",-0.344669001989113
"gero","pondus",0.337695727561202
"gero","manus",0.336814839027075
"gratia","liber",0.477425322062084
