"lemma","delta","mu_ch","mu_nc","mean_abs_shap","cnt_ch","cnt_nc","df_ch","df_nc","docfreq","df_rate_ch","df_rate_nc","log_odds","rare"
"christus",0.970824175791236,0.371128630409948,-0.599695545381288,0.849454424297492,1486,20,71,2,73,0.342995169082126,0.0127388535031847,3.77048277481647,FALSE
"proprius",0.204058301179249,0.0844214472546713,-0.119636853924578,0.230244176684973,994,205,101,36,137,0.48792270531401,0.229299363057325,1.06352208288041,FALSE
"aeque",0.179749089191439,0.0717373763245959,-0.108011712866843,0.236418257474644,154,135,32,49,81,0.154589371980676,0.312101910828025,-0.38204952545928,FALSE
"domus",0.170697570280631,0.0890979072843651,-0.0815996629962659,0.235290554310613,1012,900,110,79,189,0.531400966183575,0.503184713375796,-0.396044347112641,FALSE
"aureus",0.117802879056882,0.0377704020493192,-0.0800324770075628,0.163460849860784,289,119,71,35,106,0.342995169082126,0.222929936305732,0.37156694416416,FALSE
"sumo",0.115602683881339,0.0392217692976288,-0.0763809145837103,0.175714445928075,723,317,110,60,170,0.531400966183575,0.382165605095541,0.310350746261468,FALSE
"unus",0.111708563755387,0.120155383063416,0.00844681930802891,0.214601635124331,3356,1859,155,89,244,0.748792270531401,0.56687898089172,0.0773191485363568,FALSE
"internus",0.110152601659732,0.0452243174091041,-0.064928284250628,0.100564573684357,61,0,32,0,32,0.154589371980676,0,4.29891237389509,FALSE
"uter",0.101390930638721,0.0433550371413655,-0.0580358934973553,0.150701925446982,312,234,41,49,90,0.198067632850242,0.312101910828025,-0.226123100187202,FALSE
"uita",0.0967558498896541,0.087307545036566,-0.00944830485308817,0.194623295334404,2213,1071,133,75,208,0.642512077294686,0.477707006369427,0.212243455781239,FALSE
"gratia",0.0923837196945436,0.0423937077400155,-0.0499900119545281,0.149798130006831,734,487,106,57,163,0.51207729468599,0.363057324840764,-0.103372276301295,FALSE
"nubilum",0.092078620603574,0.0214164239343145,-0.0706621966692595,0.117342536823253,143,44,43,10,53,0.207729468599034,0.0636942675159236,0.657573864550157,FALSE
