score,model,mean,lower,upper,prob_positive,y_sd,mean_std,lower_std,upper_std,model_pretty,date_function,has_label,has_creator,score_label
score_nb_logit,label_date_rw2_creator,47.8320120652641,42.89628931122335,52.76608673668175,0.9999998131634256,26.560305027544583,1.800883386529617,1.6150525856814295,1.9866521367868422,Label + RW2 date + creator,rw2,TRUE,TRUE,NB
score_nb_logit,label_date_linear_creator,48.296829810115405,43.41102211069352,53.175062318520176,0.9999998143015069,26.560305027544583,1.8183838536503545,1.6344323630949933,2.0020501369760075,Label + linear date + creator,linear,TRUE,TRUE,NB
score_nb_logit,label_date_rw1_creator,50.8073694349165,46.44645820239147,55.053368361541814,0.9999998132546553,26.560305027544583,1.9129060973594354,1.7487170480242522,2.0727686788404074,Label + RW1 date + creator,rw1,TRUE,TRUE,NB
score_nb_logit,label_date_rw1,51.176005004004665,47.09639178853972,55.25429030236869,0.9999998116631929,26.560305027544583,1.9267852892100512,1.7731871580427265,2.080333424072757,Label + RW1 date,rw1,TRUE,FALSE,NB
score_nb_logit,label_date_linear,48.30082861447657,43.41393191488674,53.1788972035951,0.9999998143938965,26.560305027544583,1.8185344093144187,1.634541917717585,2.0021945210510754,Label + linear date,linear,TRUE,FALSE,NB
score_nb_logit,label_date_rw2,51.16812407445346,47.048200613651154,55.2844047983664,0.9999998126938318,26.560305027544583,1.9264885708725534,1.7713727521148357,2.081467239967058,Label + RW2 date,rw2,TRUE,FALSE,NB
score_nb_logit,label_only,51.173203600220674,47.0751747155254,55.26471320496295,0.9999998143414328,26.560305027544583,1.9266798158812966,1.7723883316364666,2.0807258481275057,Label only,none,TRUE,FALSE,NB
score_ridge_logit,label_date_rw2_creator,3.651631100867066,3.2871559135034505,4.0148780919786065,0.999999814365258,1.9064501759527706,1.915408620129357,1.724228597718614,2.105944410517901,Label + RW2 date + creator,rw2,TRUE,TRUE,Ridge
score_ridge_logit,label_date_rw1_creator,3.6854112893999114,3.3269231677888125,4.037484388759291,0.9999998154463712,1.9064501759527706,1.9331275141025306,1.7450879177191945,2.117802206260917,Label + RW1 date + creator,rw1,TRUE,TRUE,Ridge
score_ridge_logit,label_date_linear_creator,3.6068684306083645,3.247794909629523,3.9638102996019913,0.9999998156519656,1.9064501759527706,1.8919290291999318,1.7035823703110415,2.0791575618392604,Label + linear date + creator,linear,TRUE,TRUE,Ridge
score_ridge_logit,label_date_rw1,3.7612317496709538,3.438972557161008,4.07781987181891,0.99999981739734,1.9064501759527706,1.9728980054730434,1.8038617533984815,2.1389595821883844,Label + RW1 date,rw1,TRUE,FALSE,Ridge
score_ridge_logit,label_date_rw2,3.729546147766819,3.408885881449731,4.050775884187979,0.9999998132679402,1.9064501759527706,1.9562777956696062,1.7880802364772532,2.1247740619098825,Label + RW2 date,rw2,TRUE,FALSE,Ridge
score_ridge_logit,label_date_linear,3.6989564801206036,3.382790431040066,4.015118432488587,0.99999981395543,1.9064501759527706,1.9402324418323742,1.7743922572482007,2.106070477547091,Label + linear date,linear,TRUE,FALSE,Ridge
score_ridge_logit,label_only,3.9064363184294915,3.6411271934780287,4.171742471159847,0.9999998139489666,1.9064501759527706,2.049062895901386,1.9098989522022694,2.18822528056626,Label only,none,TRUE,FALSE,Ridge
