analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight
within_christian,score_ridge_logit,date_rw2_creator,302.05765070599523,301.2090472775139,6.980129987507706,76,0.8157624086654561,1.829319595967449,1,0,0.3803972186418108
within_christian,score_ridge_logit,date_rw2,302.34100965033645,302.5381525302652,3.7487280630489184,76,0.8157624086654561,1.829319595967449,2,0.28335894434121656,0.3301465169907278
within_christian,score_ridge_logit,date_linear,302.64742622650874,303.0933120557578,2.453093316410709,76,0.8157624086654561,1.829319595967449,3,0.5897755205135127,0.28324953513401324
within_christian,score_ridge_logit,intercept_only,310.28881461653583,310.45127544129275,1.7676030701723389,76,0.8157624086654561,1.829319595967449,4,8.231163910540602,0.006206729233448145
window_150_350,score_ridge_logit,label_date_rw2_creator,169.13796813155065,165.7233193505101,20.66131743588965,62,-1.7450745383384925,2.4452170594993454,1,0,0.998580474491606
window_150_350,score_ridge_logit,label_date_rw2,183.8747975138406,182.25135163184547,6.649496192981451,62,-1.7450745383384925,2.4452170594993454,2,14.736829382289955,6.299719740934282e-4
window_150_350,score_ridge_logit,label_only,184.22619802617567,182.3058517029064,4.517791913079986,62,-1.7450745383384925,2.4452170594993454,3,15.088229894625016,5.284642066217996e-4
window_150_350,score_ridge_logit,label_date_linear,185.6364229786809,183.95494462368208,5.2112210296921795,62,-1.7450745383384925,2.4452170594993454,4,16.49845484713026,2.61089327678553e-4
window_150_350,score_ridge_logit,date_rw2,273.19411432980354,273.52451181798983,4.47624881766781,62,-1.7450745383384925,2.4452170594993454,5,104.05614619825289,2.5344166842874276e-23
window_150_350,score_ridge_logit,date_linear,291.4075481990567,291.7463550232134,2.534368742784028,62,-1.7450745383384925,2.4452170594993454,6,122.26958006750604,2.811131139505062e-27
