manual_label,time_bin,date_mid,n,mean_y,se_y,lower,upper
non_christian,1,150,13,-4.287047239808579,0.8721075752934925,-5.996378087383824,-2.5777163922333335
non_christian,2,175,5,-1.6592762032607917,1.9300754887441427,-5.442224161199311,2.123671754677728
non_christian,3,200,1,-1.4863870403757995,NA,-1.4863870403757995,-1.4863870403757995
non_christian,4,230,4,-4.694783949004722,2.1595902332703174,-8.927580806214543,-0.4619870917949003
non_christian,5,250,3,-9.05466918821968,0.7883009581676758,-10.599739066228326,-7.509599310211036
non_christian,6,293.75,6,-3.853937600462211,0.982781574498655,-5.780189486479575,-1.927685714444847
non_christian,7,310,2,-1.4055452770015835,0.03962739410624383,-1.4832149694498213,-1.3278755845533456
non_christian,8,350,11,-1.0891447806812584,0.5867636171874062,-2.2392014703685748,0.060911909006057696
christian,2,196.5,3,3.256454162736807,1.049011826810476,1.200390982188274,5.312517343285339
christian,3,201,3,4.437841376183524,0.5047009983885155,3.4486274193420337,5.427055333025014
christian,4,210,2,7.502497438424929,5.158394913351157,-2.6079565917433376,17.612951468593195
christian,5,250,4,6.805704590240924,2.163433560172502,2.56537481230282,11.04603436817903
christian,6,274.25,2,1.5642914979601361,2.660681601698607,-3.650644441369133,6.779227437289405
christian,7,319,2,1.0133991626422283,1.0583819706706739,-1.0610294998722924,3.087827825156749
christian,8,330,1,3.7348382518627607,NA,3.7348382518627607,3.7348382518627607
