time_bin,date_mid,n,mean_y,se_y,lower,upper
1,198.5,6,1.8552339557399957,0.35725335660840507,1.1550173767875218,2.5554505346924694
2,245,6,2.9278351148572783,0.4526975547978907,2.0405479074534125,3.815122322261144
3,317.5,5,0.5428961680145667,0.8044645337667417,-1.033854318168247,2.11964665419738
4,395.5,5,2.1960536386884386,1.0530268048405547,0.13212110120095133,4.259986176175926
5,400,6,1.4499348787333486,0.8088879582357982,-0.1354855194088158,3.0353552768755128
6,412.5,8,-0.2738108655556478,0.3190980153426134,-0.89924297562717,0.3516212445158744
7,417.75,2,-0.07398071666945283,1.9411368931850213,-3.8786090273120943,3.7306475939731887
8,429.75,6,0.6338486049537452,0.9422793612013174,-1.213018943000837,2.480716152908327
9,450,5,0.5286206427556289,0.7338804246987481,-0.9097849896539175,1.9670262751651753
10,475.5,7,-0.17965140900146181,0.5014904979932492,-1.1625727850682304,0.8032699670653066
11,501.5,4,0.2099353737802987,0.45877539677878926,-0.6892644039061282,1.1091351514667256
12,550,6,0.1548870676495929,0.6929834172212822,-1.2033604301041203,1.513134565403306
13,564.5,5,0.4493464191742077,1.1257047847914585,-1.757034959017051,2.6557277973654663
14,583.5,5,0.8078375418959648,0.8313023023626079,-0.8215149707347468,2.4371900545266763
