score,score_label,best_model,best_model_pretty,best_waic,source_only_waic,best_date_model,best_date_pretty,best_date_waic,best_creator_model,best_creator_pretty,best_creator_waic,flipped,auc_raw,auc_aligned,gain_date_vs_source,gain_creator_vs_date,gain_date_support,gain_creator_support
score_bert_logit,Bert Logit,date_rw2_creator_source,Source + RW2 date + creator,3699.808468495329,4159.38222588065,date_rw1_source,Source + RW1 date,3833.5159634462657,date_rw2_creator_source,Source + RW2 date + creator,3699.808468495329,FALSE,0.9349466323150534,0.9349466323150534,325.8662624343847,133.7074949509365,large,large
score_bert_margin,Bert Margin,date_rw2_creator_source,Source + RW2 date + creator,3288.2836888941406,3895.413705380002,date_rw1_source,Source + RW1 date,3480.0076697134864,date_rw2_creator_source,Source + RW2 date + creator,3288.2836888941406,FALSE,0.9469543614280457,0.9469543614280457,415.40603566651544,191.7239808193458,large,large
score_lgb_logit,LightGBM Logit,date_rw2_creator_source,Source + RW2 date + creator,3148.942689329403,3902.203882814854,date_rw1_source,Source + RW1 date,3498.282757721003,date_rw2_creator_source,Source + RW2 date + creator,3148.942689329403,FALSE,0.9677953625322047,0.9677953625322047,403.92112509385106,349.34006839159974,large,large
score_lgb_margin,LightGBM Margin,date_rw2_creator_source,Source + RW2 date + creator,3100.048191219903,3853.4835210585447,date_rw1_source,Source + RW1 date,3449.3031319802235,date_rw2_creator_source,Source + RW2 date + creator,3100.048191219903,FALSE,0.9677953625322047,0.9677953625322047,404.18038907832124,349.25494076032055,large,large
score_nb_logit,NB Logit,creator_source,Source + creator,6624.428421129134,7365.139166238365,date_rw1_source,Source + RW1 date,7044.440497694442,creator_source,Source + creator,6624.428421129134,FALSE,0.9631716967243283,0.9631716967243283,320.6986685439233,420.0120765653073,large,large
score_ridge_logit,Ridge Logit,date_rw2_creator_source,Source + RW2 date + creator,2665.5320316678917,3307.2302521230868,date_rw1_source,Source + RW1 date,2968.2728392731665,date_rw2_creator_source,Source + RW2 date + creator,2665.5320316678917,FALSE,0.9780318365844681,0.9780318365844681,338.9574128499203,302.74080760527477,large,large
score_svm_logit,SVM Logit,date_rw2_creator_source,Source + RW2 date + creator,3728.610290590669,4548.9252746661105,date_rw1_source,Source + RW1 date,4086.4868095081283,date_rw2_creator_source,Source + RW2 date + creator,3728.610290590669,FALSE,0.9813213102686786,0.9813213102686786,462.43846515798214,357.8765189174592,large,large
score_svm_margin,SVM Margin,date_rw2_creator_source,Source + RW2 date + creator,2052.070699593719,2876.0386698746292,date_rw1_source,Source + RW1 date,2407.3779818622997,date_rw2_creator_source,Source + RW2 date + creator,2052.070699593719,FALSE,0.9813213102686786,0.9813213102686786,468.6606880123295,355.3072822685808,large,large
score_xgb_logit,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator,3309.536168020977,4060.623252434272,date_rw1_source,Source + RW1 date,3660.2774473737136,date_rw2_creator_source,Source + RW2 date + creator,3309.536168020977,FALSE,0.9642988590357011,0.9642988590357011,400.34580506055863,350.74127935273646,large,large
score_xgb_margin,XGBoost Margin,date_rw2_creator_source,Source + RW2 date + creator,3724.1230026891535,4473.999363435626,date_rw1_source,Source + RW1 date,4075.5789350788755,date_rw2_creator_source,Source + RW2 date + creator,3724.1230026891535,FALSE,0.9642988590357011,0.9642988590357011,398.42042835675056,351.45593238972197,large,large
