score,model,mean,lower,upper,prob_positive,y_sd,mean_std,lower_std,upper_std,score_label,main_model,main_model_pretty
score_nb_logit,date_rw2_creator_source,-1.8724660891904998,-4.242911663213295,0.49313186579532814,0.05999413745755333,27.10433416234271,-0.06908364094005315,-0.15653997024240376,0.018193838034968546,NB Logit,date_rw2_creator_source,Source + RW2 date + creator
score_ridge_logit,date_rw2_creator_source,0.07071018683794825,-0.12090837837932339,0.2622366557264195,0.765081946876635,2.0103391574157827,0.035173262470221,-0.06014327380199204,0.13044398740335691,Ridge Logit,date_rw2_creator_source,Source + RW2 date + creator
score_svm_margin,date_rw2_creator_source,-0.06495081322490105,-0.1947295572769763,0.0647296413244988,0.16229878360581063,1.5235728749299353,-0.042630591745004616,-0.12781112113585727,0.042485425140871926,SVM Margin,date_rw2_creator_source,Source + RW2 date + creator
score_svm_logit,date_rw2_creator_source,-0.18980291210279837,-0.5689456798578534,0.18904525863596774,0.16222907023193278,4.452305590492067,-0.04263025262868837,-0.12778675414213286,0.042460081590013805,SVM Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_margin,date_rw2_creator_source,-0.42648119509493004,-0.8035884406422992,-0.049767522518647626,0.013084169533599588,4.2462726622757705,-0.10043660146552139,-0.18924560539445426,-0.011720284229693095,XGBoost Margin,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,-0.3265683049117801,-0.6160239223818763,-0.03741195817310582,0.013266667758484285,3.257814569466618,-0.10024152632028015,-0.189091155818219,-0.011483759242697185,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_lgb_margin,date_rw2_creator_source,-0.18163742469680189,-0.4341709190829514,0.07074763580937271,0.07860363820038097,2.851751278667045,-0.06369329122619072,-0.15224711998231835,0.024808487450715302,LightGBM Margin,date_rw2_creator_source,Source + RW2 date + creator
score_lgb_logit,date_rw2_creator_source,-0.18755251868669012,-0.4480808097405846,0.0728237518636899,0.07842323371866444,2.942219811873306,-0.0637452436183807,-0.1522934513364222,0.024751295457195344,LightGBM Logit,date_rw2_creator_source,Source + RW2 date + creator
score_bert_logit,date_rw2_creator_source,0.8874563181180309,0.523237413819972,1.251398751816568,0.9999998128036381,3.5030130851659,0.25334085158748465,0.14936781596269486,0.35723496355632445,Bert Logit,date_rw2_creator_source,Source + RW2 date + creator
score_bert_margin,date_rw2_creator_source,1.2451586234227487,0.9617650787952952,1.528076637466129,0.9999998130440436,2.9997073453266205,0.41509336747887676,0.3206196365434356,0.5094085727552018,Bert Margin,date_rw2_creator_source,Source + RW2 date + creator
