analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,has_score,has_date,has_source,has_creator,score_label
negative_control_text_length,score_nb_logit,date_rw2_score_creator,1793.8983756487253,1765.0089229228104,176.99220376656788,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.6574065024587943,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_source_score_creator,1795.2018915414988,1766.2447131961528,177.56738291033736,780,1.5799327658127228e-16,1.0000000000000002,2,1.3035158927734756,0.34259349754110796,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,59.995160133297304,6.166667068896233e-14,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,61.06233373870373,3.6167350751929545e-14,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_score,2127.406428034591,2127.3955726223694,15.201105063527274,780,1.5799327658127228e-16,1.0000000000000002,5,333.50805238586577,2.497356741181407e-73,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,date_rw2_source_score,2128.358021288337,2128.3480646166004,16.052976846052704,780,1.5799327658127228e-16,1.0000000000000002,6,334.45964563961184,1.5518321142999444e-73,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,NB
negative_control_text_length,score_nb_logit,date_linear_score,2151.9514310331115,2152.5113457156367,3.4171235796098314,780,1.5799327658127228e-16,1.0000000000000002,7,358.0530553843862,1.1684251713292027e-78,Date linear + score,TRUE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,score_only,2188.6361033024496,2189.122044146292,2.497675177879609,780,1.5799327658127228e-16,1.0000000000000002,8,394.7377276537243,1.2636463169122296e-86,Score only,TRUE,FALSE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,407.0699713134029,2.652850953308035e-89,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,NB
negative_control_text_length,score_nb_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,409.74940816017556,6.948331527366375e-90,Date RW2,FALSE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,417.89272800488993,1.1846255503526954e-91,Date linear,FALSE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,419.28050670610014,5.918733414646861e-92,Source only,FALSE,FALSE,TRUE,FALSE,NB
negative_control_text_length,score_nb_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,422.276306522346,1.3234243310094052e-92,Intercept only,FALSE,FALSE,FALSE,FALSE,NB
negative_control_text_length,score_ridge_logit,date_rw2_score_creator,1661.360976454634,1631.5075440415246,188.6512898449863,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.737679784489462,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source_score_creator,1663.4288642146191,1633.4552179179111,188.9720237591885,780,1.5799327658127228e-16,1.0000000000000002,2,2.0678877599850694,0.2623202155105379,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,192.53255932738853,1.1480315695852507e-42,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,Elastic net
