feature,term_count,doc_freq,prevalence
deus,7064,238,0.6574585635359116
homo,5798,207,0.5718232044198895
unus,5202,242,0.6685082872928176
uolo,5064,228,0.6298342541436464
locus,4890,208,0.574585635359116
magnus,4722,229,0.6325966850828729
pars,4504,212,0.585635359116022
dies,4132,215,0.5939226519337016
tempus,4059,216,0.5966850828729282
rex,3879,162,0.44751381215469616
pater,3858,215,0.5939226519337016
nomen,3834,218,0.6022099447513812
animus,3753,198,0.5469613259668509
uenio,3697,220,0.6077348066298343
uerbum,3626,191,0.5276243093922652
uir,3619,223,0.6160220994475138
corpus,3538,206,0.569060773480663
primus,3419,214,0.5911602209944752
bellum,3355,164,0.4530386740331492
ago,3349,217,0.5994475138121547
totus,3316,213,0.5883977900552486
terra,3316,209,0.5773480662983426
uita,3268,206,0.569060773480663
genus,3121,192,0.5303867403314917
manus,3044,212,0.585635359116022
populus,3004,200,0.5524861878453039
credo,2942,198,0.5469613259668509
bonus,2842,197,0.5441988950276243
uirtus,2733,178,0.49171270718232046
uis,2725,204,0.56353591160221
urbs,2694,185,0.511049723756906
dominus,2668,178,0.49171270718232046
liber,2666,188,0.5193370165745856
mors,2626,185,0.511049723756906
annus,2584,200,0.5524861878453039
filius,2578,135,0.3729281767955801
pono,2571,199,0.5497237569060773
solus,2525,202,0.5580110497237569
os,2506,195,0.5386740331491713
puto,2437,181,0.5
debeo,2425,169,0.46685082872928174
scio,2399,171,0.4723756906077348
quaero,2290,190,0.5248618784530387
ratio,2213,151,0.4171270718232044
natura,2207,152,0.4198895027624309
duo,2172,179,0.494475138121547
lex,2147,193,0.5331491712707183
audio,2143,169,0.46685082872928174
opus,2131,195,0.5386740331491713
hostis,2100,160,0.4419889502762431
mens,2098,190,0.5248618784530387
arma,2083,157,0.43370165745856354
fides,2080,184,0.5082872928176796
mitto,2079,188,0.5193370165745856
modus,2060,178,0.49171270718232046
accipio,2055,187,0.5165745856353591
sequor,2024,202,0.5580110497237569
teneo,2014,200,0.5524861878453039
iubeo,1990,192,0.5303867403314917
signum,1985,161,0.4447513812154696
nascor,1951,198,0.5469613259668509
sanctus,1950,150,0.4143646408839779
uox,1944,183,0.505524861878453
caelum,1925,181,0.5
peto,1914,189,0.5220994475138122
domus,1907,187,0.5165745856353591
ius,1895,175,0.48342541436464087
scribo,1880,153,0.42265193370165743
summus,1867,196,0.5414364640883977
uerus,1856,185,0.511049723756906
malus,1811,172,0.47513812154696133
medius,1806,172,0.47513812154696133
mater,1796,175,0.48342541436464087
relinquo,1789,189,0.5220994475138122
gens,1786,161,0.4447513812154696
inuenio,1785,160,0.4419889502762431
regnum,1782,151,0.4171270718232044
nox,1773,178,0.49171270718232046
romanus,1768,136,0.3756906077348066
loquor,1755,187,0.5165745856353591
mos,1753,191,0.5276243093922652
cunctus,1733,159,0.43922651933701656
uoco,1724,179,0.494475138121547
ars,1696,166,0.4585635359116022
labor,1685,189,0.5220994475138122
caput,1682,184,0.5082872928176796
prior,1678,195,0.5386740331491713
duco,1667,191,0.5276243093922652
frater,1657,157,0.43370165745856354
capio,1656,194,0.5359116022099447
aqua,1655,146,0.40331491712707185
oculus,1618,180,0.4972375690607735
pectus,1586,154,0.425414364640884
refero,1575,188,0.5193370165745856
reddo,1538,193,0.5331491712707183
sol,1518,158,0.43646408839779005
nosco,1508,181,0.5
uiuo,1504,178,0.49171270718232046
longus,1500,167,0.4613259668508287
dux,1487,145,0.4005524861878453
paro,1484,180,0.4972375690607735
christus,1484,72,0.19889502762430938
doceo,1480,180,0.4972375690607735
caesar,1480,91,0.2513812154696133
nouus,1478,184,0.5082872928176796
utor,1477,152,0.4198895027624309
publicus,1459,117,0.32320441988950277
soleo,1451,179,0.494475138121547
ciuitas,1450,88,0.2430939226519337
miser,1448,151,0.4171270718232044
iuppiter,1441,128,0.35359116022099446
uinco,1427,171,0.4723756906077348
miles,1426,130,0.35911602209944754
gero,1414,174,0.48066298342541436
mundus,1410,152,0.4198895027624309
amor,1408,175,0.48342541436464087
sanguis,1393,148,0.4088397790055249
anima,1389,127,0.35082872928176795
sentio,1381,170,0.4696132596685083
ignis,1375,160,0.4419889502762431
fortuna,1347,133,0.3674033149171271
sto,1346,168,0.46408839779005523
maximus,1338,143,0.39502762430939226
honor,1333,183,0.505524861878453
orbis,1331,162,0.44751381215469616
oratio,1328,85,0.23480662983425415
pes,1322,172,0.47513812154696133
dolor,1316,135,0.3729281767955801
finis,1302,167,0.4613259668508287
puer,1288,158,0.43646408839779005
aetas,1274,164,0.4530386740331492
cura,1266,171,0.4723756906077348
nego,1264,156,0.430939226519337
imperium,1259,148,0.4088397790055249
lux,1253,164,0.4530386740331492
seruo,1245,172,0.47513812154696133
amicus,1241,154,0.425414364640884
lumen,1229,143,0.39502762430939226
redeo,1217,175,0.48342541436464087
gratia,1216,162,0.44751381215469616
uia,1213,179,0.494475138121547
munus,1213,177,0.4889502762430939
princeps,1213,127,0.35082872928176795
exercitus,1204,83,0.2292817679558011
placeo,1201,170,0.4696132596685083
patior,1195,175,0.48342541436464087
proprius,1192,135,0.3729281767955801
bonum,1189,127,0.35082872928176795
mare,1187,142,0.39226519337016574
sacer,1185,166,0.4585635359116022
lego,1176,157,0.43370165745856354
uetus,1174,159,0.43922651933701656
membrum,1169,138,0.3812154696132597
fugio,1166,163,0.45027624309392267
mille,1163,144,0.39779005524861877
numerus,1161,131,0.36187845303867405
moueo,1157,156,0.430939226519337
amo,1152,143,0.39502762430939226
usus,1151,150,0.4143646408839779
parens,1147,170,0.4696132596685083
ordo,1146,146,0.40331491712707185
consilium,1146,131,0.36187845303867405
bene,1146,152,0.4198895027624309
appello,1145,98,0.27071823204419887
humanus,1142,136,0.3756906077348066
maior,1139,146,0.40331491712707185
