word1,word2,i,j,mi
ago,ago,20,20,0.6732350450598519
ago,dies,20,8,0.36492235217829183
ago,primus,20,18,0.31309258297907494
ago,locus,20,5,0.2959122595948065
ago,manus,20,25,0.2827162451493406
ago,nomen,20,12,0.24115469849123006
ago,solus,20,38,0.23312284181805598
ago,unus,20,3,0.2586193701186037
ago,inuenio,20,76,0.24536215442639175
ago,ius,20,67,0.283522833260057
ago,tempus,20,9,0.3011791242867847
ago,annus,20,35,0.2531686885534672
ago,audio,20,48,0.2326273553423377
ago,magnus,20,6,0.28196072214971135
ago,bonus,20,28,0.2609053411440785
ago,pars,20,7,0.27270262022587666
ago,homo,20,2,0.21649718226627357
ago,lex,20,47,0.2963242773135333
ago,puto,20,40,0.19824572753844727
ago,loquor,20,80,0.2533848705817139
ago,modus,20,55,0.24205885897196833
ago,credo,20,27,0.22767781109740692
ago,uir,20,16,0.23484257381338214
ago,populus,20,26,0.23479279704461575
ago,quaero,20,43,0.2266997123474095
ago,relinquo,20,74,0.2508355361223469
ago,pono,20,37,0.24940977737280434
ago,debeo,20,41,0.2140166721130523
ago,scio,20,42,0.2809070126224249
ago,accipio,20,56,0.234595032411125
ago,totus,20,21,0.26719258427187853
ago,duo,20,46,0.21767044768137112
ago,malus,20,71,0.26240323063912196
ago,summus,20,69,0.28714231009555924
ago,terra,20,22,0.27972038421777157
ago,sequor,20,57,0.2513749468783475
ago,deus,20,1,0.27793754307243734
ago,domus,20,66,0.2533848705817139
ago,uenio,20,14,0.2495811047463503
ago,nascor,20,61,0.21057263827261696
dies,ago,8,20,0.36492235217829183
dies,dies,8,8,0.6753990010414572
dies,primus,8,18,0.3249005915664114
dies,locus,8,5,0.29602460462127844
dies,manus,8,25,0.31487496651692837
dies,nomen,8,12,0.2706229855007223
dies,solus,8,38,0.2605725553278848
dies,unus,8,3,0.2619745289703559
dies,inuenio,8,76,0.21215380686479168
dies,ius,8,67,0.23953186230639556
dies,tempus,8,9,0.3021026438721872
dies,annus,8,35,0.28203540646660574
dies,audio,8,48,0.2394591133759123
dies,magnus,8,6,0.2541334426852151
dies,bonus,8,28,0.26018770643019007
dies,pars,8,7,0.23569629485186017
dies,homo,8,2,0.24300327266333
dies,lex,8,47,0.2546341560837684
dies,puto,8,40,0.20513482091315005
dies,loquor,8,80,0.2518802832545033
dies,modus,8,55,0.1960454813398389
dies,credo,8,27,0.24517331585516455
dies,uir,8,16,0.2453909308642448
dies,populus,8,26,0.23447076407823175
dies,quaero,8,43,0.21703782647286562
dies,relinquo,8,74,0.23114521383066755
dies,pono,8,37,0.2583443149352682
dies,debeo,8,41,0.2115943442549204
dies,scio,8,42,0.26640290865131266
dies,accipio,8,56,0.2518802832545033
dies,totus,8,21,0.2878148009077872
dies,duo,8,46,0.20737609459471873
dies,malus,8,71,0.2393727214542638
dies,summus,8,69,0.25636735751846373
dies,terra,8,22,0.27997449314006584
dies,sequor,8,57,0.2605725553278848
dies,deus,8,1,0.2603550372013581
