word1,word2,mi
ago,dies,0.36492235217829183
dies,primus,0.3249005915664114
dies,manus,0.31487496651692837
primus,unus,0.3140982335882976
ago,primus,0.31309258297907494
locus,nomen,0.31202141290776364
manus,uenio,0.3084936922185788
primus,sequor,0.3060881727461675
nomen,uerus,0.3047852456594917
dies,tempus,0.3021026438721872
ago,tempus,0.3011791242867847
solus,totus,0.3005839445791043
unus,uolo,0.30012118594531945
inuenio,quaero,0.2997267975969562
ago,uis,0.29945393862299596
ago,lex,0.2963242773135333
dies,locus,0.29602460462127844
ago,locus,0.2959122595948065
primus,solus,0.2954732228949819
dies,nox,0.2911469719148654
dies,totus,0.2878148009077872
ago,summus,0.28714231009555924
primus,tempus,0.2869430419219787
ius,summus,0.2849070342742168
tempus,uenio,0.28441971113095743
solus,unus,0.2836006250356222
ago,ius,0.283522833260057
primus,totus,0.2830828110456798
ago,manus,0.2827162451493406
annus,dies,0.28203540646660574
ago,magnus,0.28196072214971135
nomen,totus,0.28183496282416165
ago,scio,0.2809070126224249
locus,unus,0.2809027157576933
audio,scio,0.2801574626833654
magnus,primus,0.2801268523481184
dies,uenio,0.279993593780655
dies,terra,0.27997449314006584
ago,terra,0.27972038421777157
bonus,malus,0.2784565191678361
ago,deus,0.27793754307243734
pars,tempus,0.2779274624651782
manus,tempus,0.2779274624651782
ius,lex,0.2777388918153383
homo,unus,0.2775239558021205
primus,uenio,0.2756524845144579
solus,uis,0.2755393732841869
nomen,tempus,0.2750204019471152
manus,solus,0.2749118021452226
lex,teneo,0.2745826939308822
puto,scio,0.2733724780281861
primus,relinquo,0.2732797694825635
ago,pars,0.27270262022587666
nomen,unus,0.2724813878890453
bonus,loquor,0.2721615423253132
dies,domus,0.2715590830737806
loquor,uerbum,0.2713599523260255
modus,pars,0.27117495701330174
credo,uenio,0.2709535000349339
locus,primus,0.2708378188890803
dies,fides,0.27064219314846305
dies,nomen,0.2706229855007223
bonus,uerbum,0.2703969574647065
uir,unus,0.26975926042621534
inuenio,uenio,0.26962446810413176
dies,uolo,0.26883607526707554
ius,nomen,0.2687543413927491
lex,primus,0.26868995871034684
pars,primus,0.26865418417319376
populus,summus,0.2685248858536733
quaero,tempus,0.2684267421455848
credo,manus,0.2681671489353148
loquor,teneo,0.26812876993067025
ius,teneo,0.26808419195690636
relinquo,uenio,0.2679827056309838
pono,totus,0.26754639133550384
ago,totus,0.26719258427187853
primus,quaero,0.26709218450795813
quaero,uerus,0.26700681883679867
ago,uolo,0.2668391055389696
debeo,tempus,0.26674690996272865
scio,uis,0.266735556779917
dies,scio,0.26640290865131266
nomen,primus,0.2663107270160028
loquor,magnus,0.266165993306835
nomen,sequor,0.2659143271562643
manus,quaero,0.26590996564430736
ius,tempus,0.26575875943615834
accipio,primus,0.26575255583033996
totus,unus,0.26552438816797697
pars,sequor,0.2651500685883752
debeo,inuenio,0.26510571016792994
lex,summus,0.264971448124272
primus,uolo,0.26491376565853564
audio,teneo,0.26473469634498326
duo,pars,0.26462652130300235
dies,uerus,0.26420485302324614
ius,primus,0.263004263631359
malus,primus,0.26300396790683145
magnus,uis,0.26258795736283336
nomen,summus,0.2624283703075809
ago,malus,0.26240323063912196
locus,pono,0.2621646099494672
loquor,uerus,0.2621343198191237
nomen,urbs,0.26198779222560464
dies,unus,0.2619745289703559
inuenio,manus,0.2619491694961402
locus,uolo,0.26188511458938457
summus,tempus,0.2615479757480683
quaero,uenio,0.26149801656648375
loquor,malus,0.26148710850128243
lex,relinquo,0.26140325967677036
ago,bonus,0.2609053411440785
terra,totus,0.260811274562573
primus,summus,0.26080409136192984
locus,uenio,0.26071483161341646
dies,solus,0.2605725553278848
dies,sequor,0.2605725553278848
sequor,totus,0.2604026661028964
deus,dies,0.2603550372013581
bonus,dies,0.26018770643019007
audio,pars,0.2601341456406203
sequor,uolo,0.2599066230854383
credo,unus,0.25968218942457266
domus,uolo,0.25956184059929566
locus,summus,0.259339240084393
loquor,solus,0.2592429975939634
uenio,uolo,0.2592153778876023
nascor,primus,0.25898515938585476
uenio,unus,0.2589374632998638
scio,uenio,0.2589013257185142
ago,unus,0.2586193701186037
relinquo,scio,0.2584697705537522
magnus,teneo,0.25846778115090085
dies,pono,0.2583443149352682
nomen,teneo,0.2581866558856669
nascor,solus,0.25814466235233713
credo,locus,0.25804179105359015
ago,uerbum,0.2580090677232425
