from,to,weight,sign
anima,sensus,0.3956492168566195,positive
bene,oportet,0.38694620562306253,positive
arbor,semen,0.3840951509058961,positive
anima,spiritus,0.3815083301390759,positive
oratio,orator,0.37597545969799073,positive
litus,mare,0.34239380540567527,positive
eques,miles,0.33886889423214345,positive
abeo,istic,0.3363933566615047,positive
natura,uoluptas,0.33450772289732983,positive
christus,deus,0.3323568331788813,positive
dolor,uoluptas,0.3280556148995444,positive
aequor,tellus,0.32175780671407866,positive
filius,pater,0.3192350420024393,positive
oportet,utor,0.3105158582194758,positive
aequor,unda,0.3074435036049123,positive
mundus,orbis,0.3020674348427674,positive
amo,amor,0.28730103064319734,positive
consul,senatus,0.2837917728616537,positive
acies,hostis,0.28350121164310765,positive
imperator,princeps,0.2820724781429411,positive
ars,orator,0.2701764761345846,positive
pietas,pius,0.2700985250179638,positive
mensis,semen,0.2689153831220999,positive
duo,tres,0.26544388796758117,positive
loquor,respondeo,0.2652099875585089,positive
prouincia,senatus,0.26301438750621026,positive
claudo,seruo,0.26230290555935987,positive
proprius,species,0.2620439110224254,positive
carmen,felix,0.25907953811107226,positive
capio,mille,0.2581032929920813,positive
hostis,proelium,0.2580391200156104,positive
dominus,sanctus,0.2577114460425796,positive
ingenium,studium,0.2569442962165887,positive
uersus,uetus,0.25385163203265754,positive
iudex,occido,0.2439666198340993,positive
copia,nauis,0.23841223681379398,positive
perdo,pereo,0.23832124373620722,positive
respondeo,senex,0.23526123726324497,positive
frater,senex,0.23266933120426084,positive
animal,species,0.2326148869081164,positive
agmen,campus,0.23115336161732652,positive
cerno,surgo,0.22422627958848915,positive
lego,littera,0.22380668550572924,positive
contineo,diuinus,0.21932970647307382,positive
eques,iter,0.21775513875284086,positive
contineo,numerus,0.21551981121527572,positive
gigno,luna,0.2134643204147407,positive
pes,uia,0.21326207097124034,positive
flamma,membrum,0.21304866818249207,positive
ignis,sidus,0.21271040110216952,positive
caro,corpus,0.21230295247271577,positive
mereo,princeps,0.2107760706066542,positive
casus,longus,0.21035416364786483,positive
caesar,castra,0.20915697087297427,positive
locus,pono,0.20897451238300455,positive
imperium,trado,0.2089064722560455,positive
ciuis,publicus,0.208586565873532,positive
publicus,senatus,0.20809252862205027,positive
malum,malus,0.20615238093810972,positive
mulier,uxor,0.20583625625176158,positive
disco,doceo,0.2050241119378472,positive
oportet,uinum,0.2049469750465977,positive
bonum,bonus,0.20483068829244044,positive
ager,arbor,0.20435413624720605,positive
efficio,natura,0.2042939423401515,positive
istic,scio,0.20408633816682828,positive
felix,gaudeo,0.20164986777258578,positive
deus,diuinus,0.20096916995638076,positive
acies,eques,0.1993226424946245,positive
bellum,uictor,0.19868857467403905,positive
telum,turbo,0.19825182892128157,positive
intellego,probo,0.19782195664132032,positive
secundus,tertius,0.19772013368255364,positive
beatus,uoluptas,0.19721680751561801,positive
auxilium,regnum,0.1968858432950953,positive
extremus,tollo,0.19666078022397185,positive
iniuria,sapio,0.19642706868475918,positive
defendo,iudicium,0.19512417088763165,positive
amor,carmen,0.19428796011299343,positive
lingua,uox,0.1936999264062188,positive
genus,species,0.19350609836880484,positive
dux,pax,0.19300964465626108,positive
amo,istic,0.1927570039579732,positive
nescio,numen,0.1916366872237805,positive
conuenio,curo,0.19119312640673858,positive
doceo,loquor,0.19094707416933096,positive
tellus,unda,0.190333501232565,positive
iuppiter,mars,0.19020571991748855,positive
natura,sensus,0.1896714486586856,positive
flumen,longe,0.18846186038247392,positive
orbis,unda,0.1881353120135227,positive
arma,telum,0.18766964423364335,positive
prouincia,proximus,0.18712727769441528,positive
honor,princeps,0.18622999977108198,positive
sedeo,sto,0.1851665065026976,positive
edo,proximus,0.18453529386507406,positive
iubeo,mitto,0.18433437104164804,positive
alienus,periculum,0.18381677612544392,positive
iuppiter,numen,0.1833895618839773,positive
accedo,beatus,0.18327097271047488,positive
hostis,romanus,0.181647522292944,positive
littera,scribo,0.1812025888693771,positive
auxilium,exercitus,0.180612302694036,positive
credo,humanus,0.18044854670716926,positive
amor,durus,0.17999272537742017,positive
comes,manus,0.1780862491465414,positive
iudex,puto,0.1778166069240073,positive
aqua,mille,0.17647101495821454,positive
credo,nescio,0.17546927430741338,positive
morior,mors,0.175453592087236,positive
officium,uoluptas,0.17530471062887396,positive
castra,nauis,0.1752512277937603,positive
laus,oro,0.17465323392659965,positive
consul,roma,0.17430478336979735,positive
ferrum,uulnus,0.1737048204439091,positive
caelum,lux,0.17352948972223298,positive
consul,princeps,0.1729460609093419,positive
luna,mars,0.17280237457158787,positive
flumen,mare,0.172700506674665,positive
rogo,taceo,0.17266673560786408,positive
murus,pugno,0.1720908003416259,positive
bonum,sapio,0.17191402197804478,positive
male,seruus,0.17114937142340383,positive
audio,oratio,0.17048730842524978,positive
disco,quaero,0.17041583201758959,positive
constituo,luna,0.17009939430708118,positive
alienus,uitium,0.16977204867705342,positive
coepio,transeo,0.16957798494635956,positive
episcopus,rex,0.16946030542103635,positive
littera,numerus,0.16893654196870764,positive
animal,contingo,0.1688293975457627,positive
mensis,spatium,0.16848298114079044,positive
mars,signum,0.16776912986454356,positive
confero,maximus,0.1675728277725866,positive
