name,doc_freq,term_count
anima,127,1389
bene,152,1146
arbor,110,761
oratio,85,1328
litus,107,862
eques,79,629
abeo,130,881
natura,152,2207
christus,72,1484
dolor,135,1316
aequor,85,654
filius,135,2578
oportet,102,769
mundus,152,1410
amo,143,1152
consul,105,1058
acies,95,818
imperator,64,673
ars,166,1696
pietas,122,644
mensis,109,927
duo,179,2172
loquor,187,1755
prouincia,75,631
claudo,113,618
proprius,135,1192
carmen,126,793
capio,194,1656
hostis,160,2100
dominus,178,2668
ingenium,131,976
uersus,129,840
iudex,130,1065
copia,111,692
perdo,153,881
respondeo,124,965
frater,157,1657
animal,69,642
agmen,83,688
cerno,128,839
lego,157,1176
contineo,115,647
gigno,96,631
pes,172,1322
flamma,124,819
ignis,160,1375
caro,86,661
mereo,166,1110
casus,123,819
caesar,91,1480
locus,208,4890
imperium,148,1259
ciuis,115,847
publicus,117,1459
malum,134,817
mulier,109,837
disco,138,828
bonum,127,1189
ager,139,1017
efficio,112,814
istic,58,643
felix,125,710
deus,238,7064
bellum,164,3355
telum,115,943
intellego,105,1081
secundus,131,786
beatus,104,937
auxilium,113,642
extremus,111,622
iniuria,96,641
defendo,123,648
amor,175,1408
lingua,148,721
genus,192,3121
dux,145,1487
nescio,155,1085
conuenio,138,813
doceo,180,1480
tellus,95,740
iuppiter,128,1441
flumen,125,738
orbis,162,1331
arma,157,2083
honor,183,1333
sedeo,126,602
edo,148,710
iubeo,192,1990
alienus,132,858
accedo,132,861
littera,105,942
credo,198,2942
comes,123,632
aqua,146,1655
morior,149,1132
officium,137,835
castra,94,1026
laus,161,915
ferrum,123,846
caelum,181,1925
luna,100,858
rogo,142,908
murus,92,601
male,133,631
audio,169,2143
constituo,106,1040
coepio,126,903
episcopus,18,826
mars,77,707
confero,136,682
cor,142,1010
iuuenis,114,856
patria,139,930
fortuna,133,1347
ira,133,1028
condo,130,675
sanguis,148,1393
motus,117,775
filia,95,613
finis,167,1302
nox,178,1773
ciuitas,88,1450
reperio,113,599
ingens,110,778
regnum,151,1782
exercitus,83,1204
domus,187,1907
debeo,169,2425
consilium,131,1146
sensus,100,736
crimen,137,910
mare,142,1187
diuido,127,632
pax,144,978
iudicium,128,1013
communis,140,730
caput,184,1682
pectus,154,1586
subeo,124,698
scribo,153,1880
consto,123,739
fons,128,620
miser,151,1448
semen,94,628
spiritus,119,950
orator,48,654
miles,130,1426
uoluptas,97,1132
pater,215,3858
utor,152,1477
unda,118,1138
senatus,87,1061
princeps,127,1213
pius,129,727
tres,145,1085
seruo,172,1245
species,118,913
mille,144,1163
proelium,111,939
sanctus,150,1950
studium,132,977
uetus,159,1174
occido,119,963
nauis,85,677
pereo,166,1122
senex,123,880
campus,129,1018
surgo,107,605
diuinus,114,843
iter,149,863
numerus,131,1161
uia,179,1213
membrum,138,1169
sidus,120,739
corpus,206,3538
longus,167,1500
pono,199,2571
trado,151,1088
malus,172,1811
uxor,112,1042
uinum,124,767
bonus,197,2842
scio,171,2399
gaudeo,144,801
uictor,123,729
turbo,113,646
probo,147,1036
tertius,123,880
tollo,166,832
sapio,116,699
uox,183,1944
numen,101,774
curo,135,645
longe,134,757
proximus,124,697
sto,168,1346
mitto,188,2079
periculum,94,778
romanus,136,1768
humanus,136,1142
durus,129,796
manus,212,3044
puto,181,2437
mors,185,2626
oro,120,712
roma,114,984
uulnus,121,955
lux,164,1253
taceo,144,795
pugno,107,602
seruus,136,874
quaero,190,2290
uitium,128,1010
transeo,121,733
rex,162,3879
contingo,116,599
spatium,115,680
signum,161,1985
maximus,143,1338
mons,136,913
salus,143,904
timeo,145,1065
os,195,2506
magnus,229,4722
fides,184,2080
umbra,126,741
summus,196,1867
uita,206,3268
parens,170,1147
potestas,125,1048
suscipio,118,681
uirtus,178,2733
inimicus,120,644
paucus,145,775
ordo,146,1146
sentio,170,1381
cunctus,159,1733
oculus,180,1618
populus,200,3004
opus,195,2131
singulus,127,1043
iudico,95,732
uoco,179,1724
templum,129,915
saeuus,119,787
uultus,123,859
ratio,151,2213
coniunx,106,639
uerbum,191,3626
praesto,142,1017
