word1,word2,ppmi,mi
natura,ratio,0.621168478630235,0.20387226037840556
debeo,inuenio,0.6065526074969955,0.26510571016792994
inuenio,ratio,0.6032116045102764,0.20750238754351713
arma,hostis,0.5965064981951141,0.21650699397581707
audio,scio,0.5898952399760383,0.2801574626833654
bellum,regnum,0.586682302559066,0.20168924847202518
audio,inuenio,0.584411481619782,0.2375370776119876
arma,bellum,0.5797190651118557,0.2098071657869447
regnum,rex,0.5742597825605086,0.1849652563645252
inuenio,quaero,0.5733926303769172,0.2997267975969562
inuenio,scio,0.5726466400401956,0.2297641867210638
ratio,scribo,0.5713142723307517,0.16276731059488192
natura,romanus,0.5702293220847022,0.1326403779686176
audio,malus,0.5700780776905054,0.2564965011622746
bellum,hostis,0.5686342326873629,0.20602881339971102
debeo,scribo,0.5675894824617401,0.20054958084699326
puto,ratio,0.5662164719667748,0.22820446074834777
audio,ratio,0.5647472256928102,0.19299471906567778
regnum,sanctus,0.5642094467070072,0.15143988981236323
inuenio,natura,0.5632745002113326,0.17292821762629362
debeo,scio,0.561724363009342,0.2426523490691208
bellum,romanus,0.5612541253897405,0.14816461861502095
ratio,scio,0.5610145558104881,0.19437410172100833
modus,ratio,0.5601152751743441,0.21224202434497208
audio,ius,0.5598041532390909,0.2526939292256323
inuenio,malus,0.5593250480002449,0.2175080442326962
audio,debeo,0.559100467136829,0.23350786645597754
arma,gens,0.5580150862262566,0.18136410196499408
hostis,romanus,0.5577758610134155,0.13829441582363078
arma,romanus,0.5574725089710467,0.13287739520625053
inuenio,ius,0.5569592011068595,0.22334872310261744
regnum,romanus,0.5568293394093848,0.12271555862847716
puto,scio,0.5554299300027447,0.2733724780281861
hostis,signum,0.5553475972125181,0.18567262974303222
gens,regnum,0.55513394482414,0.16611439958657837
hostis,regnum,0.5527807508833845,0.1621241788188934
inuenio,uerus,0.5519416291148801,0.24854833152697697
malus,scio,0.5512460688878265,0.23855073980469665
debeo,natura,0.5500493314288388,0.18134405514659324
ratio,signum,0.5465502011327485,0.15910752238500336
filius,inuenio,0.5459246063831505,0.12878967279934983
inuenio,puto,0.5452270504833231,0.22727267873939727
ratio,uerus,0.5443576781542758,0.2150362432824391
arma,rex,0.5435926168418199,0.1707330790063235
audio,scribo,0.5434919308826798,0.17749071518583293
debeo,ratio,0.5402562056845144,0.17043453756888027
audio,signum,0.5401535362799068,0.19208109419120856
inuenio,scribo,0.5396226663058735,0.15546472584795445
