component,observed,perm_mean,perm_q95
1,1431.072921926187,768.2747729669543,795.4706797326762
2,902.1156924817157,572.6698069436444,581.3500723529174
3,670.1365782618075,489.6483348525599,502.7270513757018
4,534.5960032580779,335.2940509581251,371.49512686560047
5,489.13714929876153,317.10524085470047,333.00130585451154
6,414.1767552735692,306.41448714281086,318.45099597946944
7,382.79104545897184,293.438308538767,306.3560433910103
8,350.2068255969965,282.1055391272673,294.84922947188045
9,315.21943218084056,274.6429329574636,282.11311855410946
10,305.33751609902174,269.0769981720374,275.8365987554113
11,271.29811612669477,263.80920255968033,270.5360925036267
12,237.92190706997866,258.80961016253593,266.8230824258104
13,227.81171894505238,253.8575202868916,260.64563860420714
14,211.36379814522493,249.07829810454714,257.13196566238935
15,206.1604967490749,244.7354063749821,251.71430233491918
16,185.1450576933678,240.68775780658868,246.85685299982046
17,173.08625351415893,236.75770086613068,242.6766603180655
18,164.60626626598454,232.9302056649216,238.37332946585687
19,157.9957826475064,229.3504637519927,233.5333883228073
20,145.7545200203676,225.7655029333202,229.89791108610422
