component,singular_value,variance_explained,cumulative_variance
1,1431.072921926187,0.401018041585851,0.401018041585851
2,902.1156924817157,0.1593546930842052,0.5603727346700562
3,670.1365782618075,0.08793606561723909,0.6483088002872953
4,534.5960032580779,0.05596181588182945,0.7042706161691248
5,489.13714929876153,0.0468491460855579,0.7511197622546827
6,414.1767552735692,0.03359014093835394,0.7847099031930367
7,382.79104545897184,0.028692204854079643,0.8134021080471163
8,350.2068255969965,0.02401538734515306,0.8374174953922694
9,315.21943218084056,0.019456573004177517,0.8568740683964469
10,305.33751609902174,0.018255793718595443,0.8751298621150423
11,271.29811612669477,0.014412321426821629,0.8895421835418639
12,237.92190706997866,0.011084324914184708,0.9006265084560486
13,227.81171894505238,0.010162311551896822,0.9107888200079455
14,211.36379814522493,0.008747855329350995,0.9195366753372964
15,206.1604967490749,0.008322451772135572,0.927859127109432
16,185.1450576933678,0.006712196004093564,0.9345713231135255
17,173.08625351415893,0.005866317149320017,0.9404376402628456
18,164.60626626598454,0.005305582977882185,0.9457432232407278
19,157.9957826475064,0.004888001970307034,0.9506312252110348
20,145.7545200203676,0.00415991490119263,0.9547911401122274
21,141.11257026378232,0.0038991665643796926,0.9586903066766072
22,125.88529323308947,0.003103061442034485,0.9617933681186417
23,124.2251471885072,0.003021756208957524,0.9648151243275992
24,122.90103017037417,0.0029576816682360114,0.9677728059958352
25,116.77392041874556,0.00267012814750344,0.9704429341433386
26,111.0571305509381,0.002415089776465496,0.9728580239198041
27,109.47627356998767,0.002346823322289381,0.9752048472420936
28,108.61744534571915,0.0023101466563363333,0.9775149938984299
29,105.06971028465144,0.0021617001498662443,0.9796766940482962
30,94.3322477731653,0.001742451703069413,0.9814191457513656
31,91.86967006032421,0.0016526644928907624,0.9830718102442564
32,88.85062701725998,0.0015458287387780088,0.9846176389830343
33,83.37352421748481,0.0013611208992380794,0.9859787598822725
34,82.75577575404962,0.0013410254235017083,0.9873197853057741
35,79.11727216695964,0.0012256966337162044,0.9885454819394903
36,78.32025980076376,0.0012011261494599126,0.9897466080889502
37,74.2377107734073,0.0010791691600837588,0.990825777249034
38,71.275554848653,9.94767519965127e-4,0.9918205447689991
39,70.52357066395818,9.738878974599704e-4,0.9927944326664591
40,68.55979197311517,9.204058397316977e-4,0.9937148385061908
41,66.04769317728172,8.541923757159004e-4,0.9945690308819067
42,62.451229547246115,7.636992597337324e-4,0.9953327301416405
43,61.92256162547714,7.508241121711135e-4,0.9960835542538116
44,58.221958755392286,6.637644790776583e-4,0.9967473187328892
45,55.42285972213946,6.014759196768144e-4,0.9973487946525661
46,54.42785966791056,5.800733266720138e-4,0.9979288679792381
47,53.553476251041644,5.615852815795838e-4,0.9984904532608176
48,51.97689739377011,5.290065960848883e-4,0.9990194598569025
49,50.99623748660356,5.092331329838974e-4,0.9995286929898864
50,49.060476064454626,4.7130701011374493e-4,1.0000000000000002
