word1,word2,ppmi,cooc_n
christus,episcopus,1.614978092809716,18
auctoritas,existimo,1.3698556347767308,54
auctoritas,episcopus,1.3321153067938838,13
auctoritas,ciuitas,1.2910747569236165,61
existimo,imperator,1.284736405939139,46
auctoritas,imperator,1.282844257787101,44
auctoritas,memoria,1.2761701506994076,56
imperator,memoria,1.257867513926172,51
caro,episcopus,1.2549753587783086,15
ciuitas,imperator,1.2444083605521674,54
existimo,graeci,1.23198584055361,45
exercitus,imperator,1.2259435260976475,50
ciuitas,existimo,1.2151787222372288,59
auctoritas,prouincia,1.211250604600092,48
imperator,oratio,1.2021328774039288,50
ciuitas,memoria,1.1972428921097371,66
auctoritas,graeci,1.181455031906394,41
existimo,oratio,1.1796600215518702,55
imperator,prouincia,1.1764731306233513,43
ciuitas,episcopus,1.1629929690666585,14
existimo,memoria,1.15950256412689,52
auctoritas,iudico,1.1467120834625208,57
auctoritas,oratio,1.1467120834625208,51
graeci,memoria,1.145417824245151,47
existimo,reliquus,1.142618749871521,53
memoria,oratio,1.136618270293302,60
oratio,orator,1.1331400059169774,35
graeci,orator,1.1266253248957838,27
episcopus,oratio,1.1235705549008266,13
existimo,iudico,1.1215442117555943,58
existimo,intellego,1.1199008260118644,64
episcopus,intellego,1.1199008260118644,16
memoria,prouincia,1.1186805696066349,52
imperator,iudico,1.110709869589884,51
graeci,oratio,1.1094858150190874,47
auctoritas,reliquus,1.1067067488488216,49
auctoritas,constituo,1.1049724772897558,61
auctoritas,intellego,1.097921919293089,60
imperator,senatus,1.0954944063006107,46
istic,orator,1.0954944063006105,23
appello,existimo,1.0904536246855632,58
imperator,intellego,1.0861339635410467,55
aequor,tellus,1.0847708057613392,66
appello,auctoritas,1.0799034137904107,55
appello,imperator,1.0796192825198532,51
prouincia,senatus,1.0785398931869985,53
iudico,orator,1.0774842219615637,37
exercitus,prouincia,1.0673384959210088,50
constituo,existimo,1.0624128628709602,61
imperator,periculum,1.0606673571039862,48
episcopus,spiritus,1.055362304874293,17
exercitus,memoria,1.0550684033291944,54
orator,senatus,1.0510426437297766,33
existimo,oportet,1.0504482900718641,58
ciuitas,iudico,1.0500852477734495,66
appello,prouincia,1.0496316301653081,58
graeci,prouincia,1.0480630023926816,39
constituo,episcopus,1.0458835609197494,15
intellego,oratio,1.0435278472272902,70
episcopus,reliquus,1.0435278472272902,12
graeci,reliquus,1.04352784722729,44
appello,memoria,1.0430922122824788,63
existimo,orator,1.0396139479061541,27
imperator,oportet,1.039613947906154,51
episcopus,imperator,1.039613947906154,9
appello,oratio,1.03841274656052,65
ciuitas,intellego,1.0370131662060964,72
existimo,prouincia,1.0351595975567736,42
orator,prouincia,1.0351595975567736,28
ciuitas,oratio,1.0320991514036675,58
caro,christus,1.0318318074640989,48
ciuitas,graeci,1.0313151450914588,45
appello,graeci,1.0290449965569197,50
imperator,reliquus,1.027779490259151,42
episcopus,existimo,1.0271914279075969,10
existimo,facile,1.025371591190611,61
auctoritas,iniuria,1.0250151484850012,51
oratio,prouincia,1.0233251399097705,49
auctoritas,exercitus,1.0228867333501748,44
ciuitas,exercitus,1.0208184802861158,56
intellego,memoria,1.0206193564304202,66
imperator,iniuria,1.0185605387083214,47
ciuitas,reliquus,1.0147074086917982,57
intellego,iudico,1.014540310354038,76
exercitus,senatus,1.0142286706070605,55
facile,oratio,1.0111924665843537,71
auctoritas,paulus,1.0109105423034592,55
ciuitas,prouincia,1.0088422892394002,50
ciuitas,orator,1.0088422892394002,32
