outcome,score,model,n,backend,ok,elpd_loo,looic,error
n_words,score_nb_logit_aligned,intercept,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,creator_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,creator_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,creator_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,creator_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_creator_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_creator_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_creator_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_nb_logit_aligned,source_creator_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,intercept,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,creator_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,creator_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,creator_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,creator_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_creator_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_creator_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_creator_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_ridge_logit_aligned,source_creator_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,intercept,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,creator_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,creator_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,creator_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,creator_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_creator_date_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_creator_date_type_score,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_creator_sdate_type,780,cmdstanr,TRUE,NA,NA,NA
n_words,score_svm_logit_aligned,source_creator_sdate_type_score,780,cmdstanr,TRUE,NA,NA,NA
